rank,name,solved,recent
132,hexadoodle,300,0
254,(Andy_Dienes),240,0
316,gerglo,222,0
391,(kenbrooker),208,0
42,moovybuf,415,0
513,Alex52,188,0
539,wtrotter,184,0
59,stevefr01,375,0
69,lackritz,359,0
809,piguy314159,156,0
832,dnormand,155,0
95,robot-dreams,331,0
116,(deansm),310,1
184,mdean,263,1
1=,unime,600+,1
231,Nyarpy,248,1
23,devjoe,486,1
25,ecnerwala,475,1
40,pismobiker,418,1
435,moabird,202,1
467,GNFS,196,1
538,benhoch13,184,1
54,bdolson,387,1
62,(jake223),371,1
1=,Stache,600+,2
390,Varcho,208,2
507,ravdin,189,2
50,modem,397,2
82,(heteroing),346,2
16,DerekLedbetter,539,3
1=,cmk,600+,3
1=,radeye,600+,3
39,16777216,418,3
527,SageEuler,185,3
719,judygu,164,3
12,SlavaKabanovich,569,4
389,dawghaus,208,4
537,jeffbaumann,184,4
781,bottesini,158,4
808,AlanWE_332a5,156,4
156,(vbrhjajcn),279,5
47,tcarr,401,5
600,Steppenwolf99,176,5
717,boneheadmef,164,5
718,(michael.s.emanuel),164,5
103,(zandrewv),327,6
31,silver83p,448,6
396,bruckner,207,6
440,xlearsi31,201,6
476,normanus,195,6
78,Ryals,355,6
141,jimbo_elephant,291,7
462,calypsonic,197,7
463,(pgcomp),197,7
562,sroot,181,7
667,kronion,169,7
106,jwsiegel,325,8
152,wilywampa,283,8
92,mdm,333,9
143,philiplu,290,10
344,(nimr0d),217,10
376,wfdoran,210,10
716,(paher),164,10
727,mvkid,163,10
196,gman007,260,11
108,anythingapplied,321,12
29,amcalde,456,12
67,s.c.koehler,364,12
17,pyrolykos,521,13
447,Snerd,200,13
707,bbejot,165,13
238,EclipseEnigma,244,14
574,arpsmack,180,14
882,eparlin,152,14
165,jsshep93,275,15
33,(jpaulson),446,15
475,dbb3,195,15
77,Zach-Lurf,355,15
9,ving,593,15
1=,willhsmit,600+,16
591,ddgoff,178,16
1=,beta_projects,600+,17
311,benner4520,223,17
493,troom,191,17
85,(dgokman),344,17
356,raphey,214,18
37,Robert_OConnor,437,18
634,bcc32,172,18
138,Schu-ism,294,19
53,Anton_Chigurh,387,19
677,(RugbyRaizel),168,19
243,eighthcoda,243,20
698,countyguy,166,21
84,rammek,344,21
633,theodoretliu,172,22
807,misterjay,156,22
216,jrouse,252,24
355,MathIsAwesome,214,24
744,timkostka,161,24
456,blueyoshi321,198,25
140,(Quadratic),292,26
270,alxcoh,235,26
632,gwrightnyc,172,26
151,tlesaul2,285,27
408,JackODonohue,205,28
612,tigrenok,175,28
434,hacatu,202,29
766,(Recondite),159,30
859,dswenson,153,30
259,CBurkhart,238,31
269,Morphie,235,31
488,schreck,192,32
237,BartSalt,244,34
247,mathcounts4,242,34
66,mark,367,34
150,Ted,285,35
461,BobTheGreat,197,35
715,SirMrGuy,164,35
536,JamesRauen,184,36
743,mfeyg,161,38
105,LarryBlake,325,39
178,mcslane,268,39
258,(kennethklinger),238,39
573,noogiedunn,180,39
338,jfreiberg,218,41
554,(gblais),183,41
79,jarip,351,43
307,(caelum02),224,44
321,tgp4,221,45
158,nkbk,278,46
335,Zkid,219,47
422,Derek_Clegg,203,47
295,mccaskey,227,48
14,mathseal,558,49
15,ubiquitousgrape,539,49
195,brownkenny,260,49
433,(matthewmcateer0),202,49
229,(CheeseLord),249,50
561,dskabelund,181,52
100,(nishanth17),328,53
149,mcamac,286,53
684,merlinnimue,167,54
363,(dcoles),212,57
780,aspen8131,158,57
80,JohnMorris,349,57
65,(kelvinator),367,58
1=,al13n,600+,60
432,nsg,202,60
190,bjm2144,261,61
273,rlipsett,234,61
277,joe.giuliani,233,61
