rank,name,solved,recent
1=,dev_random,600+,144
1=,willhsmit,600+,16
1=,beta_projects,600+,17
1=,Stache,600+,2
1=,radeye,600+,3
1=,cmk,600+,3
1=,unime,600+,1
1=,al13n,600+,60
9,ving,593,15
10,(MarcusAndrews),591,414
11,binonunquineist,571,269
12,SlavaKabanovich,569,4
13,akdheirl,568,269
14,mathseal,558,49
15,ubiquitousgrape,539,49
16,DerekLedbetter,539,3
17,pyrolykos,521,13
18,(sivakd),520,129
19,aruff,513,134
20,(kingvash),502,217
21,Eigenray,493,333
22,phsr,486,141
23,devjoe,486,1
24,pwensing,480,190
25,ecnerwala,475,1
26,antwerpn,471,360
27,rprestezog,459,548
28,mathguy314,456,1106
29,amcalde,456,12
30,doctornick5,449,175
31,silver83p,448,6
32,Murphy,447,64
33,(jpaulson),446,15
34,(DjinnKahn),442,1580
35,neverforget,442,871
36,supdude1,437,1534
37,Robert_OConnor,437,18
38,thundre,433,1383
39,16777216,418,3
40,pismobiker,418,1
41,mckennar,417,339
42,moovybuf,415,0
43,(PeterW),413,381
44,mrauen,412,206
45,donhatch,410,302
46,oldpatzer,408,151
47,tcarr,401,5
48,nirenjan,397,1962
49,(Rapptz),397,667
50,modem,397,2
51,universalset,392,130
52,candells,390,67
53,Anton_Chigurh,387,19
54,bdolson,387,1
55,(ChamZord),384,2140
56,shazzam,379,1535
57,dgiaimo,379,77
58,(davin),376,1154
59,stevefr01,375,0
60,jboeing,373,667
61,navghtivs,372,107
62,(jake223),371,1
63,grantcarlson,368,105
64,Ben.Smallpox,367,1212
65,(kelvinator),367,58
66,mark,367,34
67,s.c.koehler,364,12
68,Anyun,362,2135
69,lackritz,359,0
70,CreativeUsername,358,317
71,diffeqkid,357,807
72,DanRoss53,356,496
73,jarsyl,356,414
74,(fahrbach),356,101
75,cdoumar,355,1966
76,eporter,355,1876
77,Zach-Lurf,355,15
78,Ryals,355,6
79,jarip,351,43
80,JohnMorris,349,57
81,adasgu,348,1885
82,(heteroing),346,2
83,4rm4g3dd0n,344,2157
84,rammek,344,21
85,(dgokman),344,17
86,whileTrue,342,1331
87,Googly,342,1270
88,thorfax,342,407
89,Lewin,341,376
90,henru_wang,334,72
91,bunderscore,334,71
92,mdm,333,9
93,lewanj,332,2617
94,MonkeyTheCode,332,1653
95,robot-dreams,331,0
96,xharfire,330,428
97,athenahealth,330,414
98,akimitsu,329,169
99,genemachine,328,2324
100,(nishanth17),328,53
101,jramanat,327,1330
102,(Jamie_),327,1018
103,(zandrewv),327,6
104,shadowx360,326,2409
105,LarryBlake,325,39
106,jwsiegel,325,8
107,dmitrybrant,324,2680
108,anythingapplied,321,12
109,chempro,320,704
110,quilan,319,268
111,Thiros,317,118
112,blakeney,315,100
113,lukasz_s,312,1273
114,blaisegassend,312,346
115,fizzix,311,464
116,(deansm),310,1
117,(kavigupta),310,0
118,BrianHuffman,309,2642
119,hdtscott,309,1231
120,Abe27342,309,71
121,NickMcG,308,2202
122,MrPoush,308,414
123,wakkadojo,308,129
124,smacke,305,98
125,mp1,304,819
126,arbrad,303,463
127,godmar,303,173
128,amling,301,2835
129,vvenkai,301,600
130,nwalton125,301,108
131,Tool,300,960
132,hexadoodle,300,0
133,GeneralRetard,298,2898
134,(cjqcjq),297,111
135,lomont,296,609
136,NabiNaga,295,115
137,krashman,294,1015
138,Schu-ism,294,19
139,ralphmerridew,293,2557
140,(Quadratic),292,26
141,jimbo_elephant,291,7
142,(markr),290,372
143,philiplu,290,10
144,whc67,289,1700
145,thesunmaster,289,582
146,rathmann,287,98
147,nybbler,286,2960
148,jdrandall123,286,2778
149,mcamac,286,53
150,Ted,285,35
151,tlesaul2,285,27
152,wilywampa,283,8
153,eric0511,281,2443
154,(catherd),281,213
155,CUViper,281,83
156,(vbrhjajcn),279,5
157,LeoTheAwesome,278,1732
158,nkbk,278,46
159,sizzzzlerz,277,2358
160,dmeng,276,252
161,bmcgarvey,275,965
162,msauhta,275,869
163,Atmospheric,275,593
164,TickaJules,275,101
165,jsshep93,275,15
166,(xleviator),274,200
167,RandyShane,273,1791
168,fredh,273,1296
169,lkkoller,273,810
170,kubluck,273,98
171,dshabes,272,427
172,jgrilly,271,2386
173,vamoose,271,1565
174,(james.echmalian),270,1511
175,excelgeek,269,266
176,fissional,269,253
177,(RadioChuck),268,524
178,mcslane,268,39
179,skybomb0,267,3117
180,dcclyde,267,208
181,karldray,266,162
182,(Bo102010),265,529
183,(nandor),263,3141
184,mdean,263,1
185,(enotpolaskun),262,1098
186,ecowarrior,262,591
187,fergemann,261,749
188,mvaneerde,261,690
189,xZork,261,525
190,bjm2144,261,61
191,eigenscalar,260,1297
192,JeffreyBosboom,260,1027
193,xantoscguin,260,373
194,howzat2,260,229
