rank,name,solved,recent
360,dreamsboat,54,0
5,allenjeon,313,0
61,cfranck,144,0
89,daegeon,119,0
346,mohenjo,56,1
43,alexum,169,2
329,nomadlife,58,3
39,skim0119,177,4
1,(jaehyunp),581,7
254,jihunroh-python,68,12
76,Sait2000,130,15
4,shinminseon,330,18
125,(dalgu),99,23
124,(kparkeuler),100,24
265,(ikisis),67,30
396,Yearning,51,30
359,(yyc9268),54,31
218,delfino4,72,40
47,jh05013,162,48
6,sungmin817,311,56
93,J.H.M.,117,60
35,bumsook,186,85
8,emppu,262,89
192,birmjin.in,77,99
352,(raifthenerd),55,99
243,wandookong,69,105
295,jacealan,63,108
372,16spark1,53,114
85,dareun.geum,124,124
242,rmsrk33,69,129
32,svchost.exe,193,137
36,veshboo,184,144
133,friend1226,96,146
309,hiparkgss,61,148
96,kyduke,114,152
146,nineclue,88,154
132,helicity,96,159
160,key262yek,85,162
21,zlzmsrhak,209,168
281,deity,65,176
345,qwe6580,56,179
207,(gs13057),74,180
280,nonblock,65,185
287,sherhy,64,201
324,zephyr9,59,210
95,(Byungwoo.Jeon),116,212
108,hongsch1,107,220
286,eltmzhsj,64,221
395,freewild,51,234
202,YunGoon,75,239
59,hillcanon,149,243
55,Frizzle,157,245
227,aeromind,71,246
54,zhuny,157,259
129,younghan,97,261
119,whitehwarang,102,265
358,bits_and_scraps,54,266
18,Doju,220,270
27,changrak,201,275
112,ntalbs,106,282
15,Bubbler,232,287
177,About-Blank,80,296
116,keugbang,104,323
168,flagj,83,323
357,(tjyoo73),54,324
105,astein,108,325
191,ch81.song,77,325
304,boyboyhoo,62,329
319,ssico7,60,331
318,lasher247,60,338
381,viciousagent86,52,343
333,(jaehaaheaj),57,368
135,dotorya,95,388
156,(hodduc),86,389
16,kanie,230,411
217,ssangkong,72,414
279,espring,65,422
159,chattee,85,424
46,Unused,164,431
14,noxnia,234,457
23,petdrow,206,461
241,dincal,69,468
71,HeeM,132,471
137,hwijung,94,481
74,colorized,131,481
216,Corea,72,494
31,eyTns,193,510
317,tyamazaki,60,531
316,fanoyong,60,534
66,kyumyonglee,140,536
344,luxewiz,56,538
285,kreateark,64,555
65,larez,140,557
139,king--kong,91,574
210,xoguslwkd,73,577
264,thebarbershop,67,582
104,Ainodyne,109,584
294,(ZTZEROS),63,587
303,jw.jung,62,598
293,Veckal,63,609
24,(lakshimi),205,616
253,(nersery),68,626
252,(hsm6911),68,636
111,4135667,106,656
226,proburner,71,660
215,NewPython,72,663
84,go_to_dmc,125,680
302,aviness,62,681
57,(j1wan),153,683
301,runnie0427,62,691
380,thumb,52,699
29,jjhangu2,199,704
75,(sy0414),130,711
394,hjl1595,51,719
251,eminency,68,722
58,Jungkeun,152,733
17,Baekjoon,228,737
225,seul,71,744
393,john-scarlet,51,758
64,tjfktj,141,768
114,(pse1202),105,786
284,(yeori),64,794
206,(bbaa1155),74,803
240,Peacemiki,69,803
7,(ssk),307,813
239,Ephemera,69,828
86,daewonyoon,123,830
131,sangpaz,96,858
232,naldo,70,859
190,Shongky,77,862
153,thechaos16,87,863
3,ainu7,330,870
315,zxcxz7,60,873
278,cguy2000,65,896
300,arcadia88,62,927
176,bdares,80,936
181,jeonbyungwoo,79,936
273,greatstone,66,941
392,(jins02),51,948
214,aleph0,72,950
292,jooyunghan,63,966
379,yangjy0113,52,970
51,kimrip,158,973
167,puella1204,83,983
166,(eulpine),83,992
201,박상건,75,993
56,dalpaeng2,156,993
224,tapiko,71,1007
118,bosscq,102,1010
238,milkiss,69,1013
68,(juncoder),134,1018
34,(mecatos95d),188,1020
205,kunbam09,74,1024
378,(albert_park),52,1028
371,AmorEtSpero,53,1030
391,ybjeon01,51,1036
163,Hydrogen,84,1041
272,hylee,66,1045
103,Abalcon,110,1047
77,bam8695,129,1048
189,ironlung,77,1067
213,hnjang810,72,1072
184,(JohnSeo),78,1075
53,pjsdream,157,1083
50,yongwhan,160,1104
308,JongMan,61,1112
370,hyunhwan,53,1120
377,yoloseem,52,1120
134,(123harim),95,1131
277,bookman01,65,1134
271,irisagfe,66,1156
314,optatum,60,1162
351,yimjy1996,55,1164
102,insikk,110,1172
323,protos37,59,1174
107,PhoBiA,107,1175
369,etoilebleu06,53,1216
328,(tintin5108),58,1220
291,wsh0509,63,1231
10,kcm1700,257,1237
19,ipkn,218,1248
81,kazel,127,1249
250,philmasterplus,68,1257
42,Breakun,170,1268
231,dpp5411,70,1269
350,(DarkAngel),55,1284
343,(lkkpou),56,1287
249,caooeep,68,1288
368,rhs0266,53,1307
223,jykim,71,1319
283,cramade,64,1320
101,tpzcln,110,1322
349,yeonseung.kim,55,1322
327,hakenstock,58,1326
67,ychoi100,137,1363
230,jupiter7,70,1375
12,JiminP,238,1377
313,coprime,60,1390
44,lem,165,1391
248,JAYS,68,1397
28,00,199,1404
9,(sunleonid),261,1470
326,(mighty93),58,1474
188,seaguy,77,1475
299,swchoi06,62,1478
307,i274,61,1487
290,kchhero,63,1493
100,neurome,110,1499
247,hacysean,68,1500
113,panda,105,1503
152,sanhalee,87,1509
73,hij8765,131,1517
115,ehooizlo,104,1521
155,gs13068,86,1523
390,greentec,51,1539
263,heemin32,67,1540
128,kiyohwan,97,1544
170,(ksthiv),82,1545
2,hongraejo,412,1552
200,ltdtl,75,1553
143,skxmremd,89,1566
389,glastonbury,51,1568
37,udaque,181,1569
312,bst1206,60,1581
151,wonyoung,87,1586
276,yxp30,65,1587
388,eva0071,51,1587
199,solmonk,75,1588
262,ibato,67,1604
342,(rynn5419),56,1605
70,yadi0119,132,1614
270,StarNK,66,1621
162,sjnam,84,1633
298,(kismp123),62,1634
222,shwlinux,71,1641
367,yunskim,53,1659
387,(spyrogira256),51,1662
20,communia,210,1668
187,sukjoony,77,1669
161,wonsik,84,1693
237,steloflute,69,1701
11,thkang,243,1717
236,pomtech,69,1728
261,(soharu1024),67,1735
322,MagicalOrb,59,1736
386,sven_,51,1741
332,siscos,57,1742
282,Eclipse412,64,1753
174,EffectiveService,81,1761
83,frigen,125,1763
289,sukwoo49,63,1770
260,ideale,67,1778
331,jhyun95,57,1784
366,ruunak,53,1790
348,indrazit,55,1799
212,trif,72,1808
321,brp-matlab,59,1808
246,byturn,68,1816
