rank,name,solved,recent
1,(jaehyunp),581,7
2,hongraejo,412,1552
3,ainu7,330,870
4,shinminseon,330,18
5,allenjeon,313,0
6,sungmin817,311,56
7,(ssk),307,813
8,emppu,262,89
9,(sunleonid),261,1470
10,kcm1700,257,1237
11,thkang,243,1717
12,JiminP,238,1377
13,muse,236,0
14,noxnia,234,457
15,Bubbler,232,287
16,kanie,230,411
17,Baekjoon,228,737
18,Doju,220,270
19,ipkn,218,1248
20,communia,210,1668
21,zlzmsrhak,209,168
22,Iris_harp,208,2318
23,petdrow,206,461
24,(lakshimi),205,616
25,sharb,204,2749
26,l10veu,202,2526
27,changrak,201,275
28,00,199,1404
29,jjhangu2,199,704
30,stenhammar,193,3452
31,eyTns,193,510
32,svchost.exe,193,137
33,uws8505,189,3326
34,(mecatos95d),188,1020
35,bumsook,186,85
36,veshboo,184,144
37,udaque,181,1569
38,(wooyekim),178,1886
39,skim0119,177,4
40,optimizerjerry,176,2935
41,p.istrati,176,1830
42,Breakun,170,1268
43,alexum,169,2
44,lem,165,1391
45,ddaker,164,2468
46,Unused,164,431
47,jh05013,162,48
48,Teferi,161,2985
49,gok01172,160,2691
50,yongwhan,160,1104
51,kimrip,158,973
52,choyb,157,3035
53,pjsdream,157,1083
54,zhuny,157,259
55,Frizzle,157,245
56,dalpaeng2,156,993
57,(j1wan),153,683
58,Jungkeun,152,733
59,hillcanon,149,243
60,kjw0612,147,3135
61,cfranck,144,0
62,absenty,142,2865
63,veblush,141,1929
64,tjfktj,141,768
65,larez,140,557
66,kyumyonglee,140,536
67,ychoi100,137,1363
68,(juncoder),134,1018
69,Kyoseon,133,2897
70,yadi0119,132,1614
71,HeeM,132,471
72,kgw0507,131,2553
73,hij8765,131,1517
74,colorized,131,481
75,(sy0414),130,711
76,Sait2000,130,15
77,bam8695,129,1048
78,hoo,128,2267
79,gsm291,128,2184
80,sehee382,127,2599
81,kazel,127,1249
82,rein01,125,3289
83,frigen,125,1763
84,go_to_dmc,125,680
85,dareun.geum,124,124
86,daewonyoon,123,830
87,lifthrasiir,122,2398
88,(kth3321),121,2248
89,daegeon,119,0
90,(chiwook),118,2024
91,kheled,117,2912
92,sutekine,117,2113
93,J.H.M.,117,60
94,EnDorphin,116,2046
95,(Byungwoo.Jeon),116,212
96,kyduke,114,152
97,DG,112,3166
98,falsetru,111,2935
99,yangbak,111,2035
100,neurome,110,1499
101,tpzcln,110,1322
102,insikk,110,1172
103,Abalcon,110,1047
104,Ainodyne,109,584
105,astein,108,325
106,teddywith,107,3100
107,PhoBiA,107,1175
108,hongsch1,107,220
109,xenosoz,106,2212
110,cdg720,106,1988
111,4135667,106,656
112,ntalbs,106,282
113,panda,105,1503
114,(pse1202),105,786
115,ehooizlo,104,1521
116,keugbang,104,323
117,dlimpid,103,2590
118,bosscq,102,1010
119,whitehwarang,102,265
120,libe,101,2056
121,joinsung,100,3651
122,sim0629,100,2688
123,nullstein,100,2440
124,(kparkeuler),100,24
125,(dalgu),99,23
126,ewmkkpe,98,2206
127,(ensual),98,2054
128,kiyohwan,97,1544
129,younghan,97,261
130,KimHoSik,96,3271
131,sangpaz,96,858
132,helicity,96,159
133,friend1226,96,146
134,(123harim),95,1131
135,dotorya,95,388
136,rai,94,2405
137,hwijung,94,481
138,desti,93,1963
139,king--kong,91,574
140,struessel,90,2017
141,epjs0126,90,1940
142,hitel00000,89,3530
143,skxmremd,89,1566
144,techshare,88,2214
145,laputan,88,2202
146,nineclue,88,154
147,pkim,87,3322
148,marocchino,87,3083
149,purluno,87,3008
150,junwhan,87,2429
151,wonyoung,87,1586
152,sanhalee,87,1509
153,thechaos16,87,863
154,KAKaMK,86,3094
155,gs13068,86,1523
156,(hodduc),86,389
157,chokobole,85,3396
158,kivol,85,3278
159,chattee,85,424
160,key262yek,85,162
161,wonsik,84,1693
162,sjnam,84,1633
163,Hydrogen,84,1041
164,(wichgreen),83,2821
165,kaisyu,83,2798
166,(eulpine),83,992
167,puella1204,83,983
168,flagj,83,323
169,dhkim16,82,1824
170,(ksthiv),82,1545
171,T.Eom,81,3221
172,hck5209,81,2661
173,milkskin,81,1829
174,EffectiveService,81,1761
175,woongy,80,1914
176,bdares,80,936
177,About-Blank,80,296
178,danox,79,3107
179,inzilion,79,2449
180,souldreamer,79,2304
181,jeonbyungwoo,79,936
182,kjk850,78,2917
183,doodoori2,78,2267
184,(JohnSeo),78,1075
185,seongjaelee,77,2302
186,(sungjinlee),77,1817
187,sukjoony,77,1669
188,seaguy,77,1475
189,ironlung,77,1067
190,Shongky,77,862
191,ch81.song,77,325
192,birmjin.in,77,99
193,raymundo,76,2571
194,hothead,75,3011
195,nateburchell,75,2315
196,songsungkyun,75,1992
197,bingoo,75,1987
198,littlechun4,75,1978
199,solmonk,75,1588
200,ltdtl,75,1553
201,박상건,75,993
202,YunGoon,75,239
203,zartoven,74,2662
204,vamf12,74,2515
205,kunbam09,74,1024
206,(bbaa1155),74,803
207,(gs13057),74,180
208,insany,73,2838
209,dkim90,73,1921
210,xoguslwkd,73,577
211,Oscillator,72,3392
212,trif,72,1808
213,hnjang810,72,1072
214,aleph0,72,950
215,NewPython,72,663
216,Corea,72,494
217,ssangkong,72,414
218,delfino4,72,40
219,drh,71,2945
220,motoko,71,2696
221,perryrage,71,2043
222,shwlinux,71,1641
223,jykim,71,1319
224,tapiko,71,1007
225,seul,71,744
226,proburner,71,660
227,aeromind,71,246
228,ntopia,70,3443
229,newshake,70,2931
230,jupiter7,70,1375
231,dpp5411,70,1269
232,naldo,70,859
233,changhoon,69,3009
234,sonsworld,69,2148
235,mnbv,69,1861
236,pomtech,69,1728
237,steloflute,69,1701
238,milkiss,69,1013
239,Ephemera,69,828
240,Peacemiki,69,803
241,dincal,69,468
242,rmsrk33,69,129
243,wandookong,69,105
244,sirgrey,68,3656
245,uzhao,68,1895
246,byturn,68,1816
247,hacysean,68,1500
248,JAYS,68,1397
249,caooeep,68,1288
250,philmasterplus,68,1257
251,eminency,68,722
252,(hsm6911),68,636
253,(nersery),68,626
254,jihunroh-python,68,12
255,Chulho-Song,67,3380
256,fort726,67,2980
257,(posithinks),67,2402
258,blue9057,67,2174
259,gnitemouse,67,1996
260,ideale,67,1778
261,(soharu1024),67,1735
262,ibato,67,1604
263,heemin32,67,1540
264,thebarbershop,67,582
265,(ikisis),67,30
266,ILyoan,66,2979
267,flaugh,66,2101
268,combacsa,66,1996
269,(lemonkr),66,1992
270,StarNK,66,1621
271,irisagfe,66,1156
272,hylee,66,1045
273,greatstone,66,941
