rank,name,solved,recent
1=,roosephu,600+,9
1=,baihacker,600+,13
1=,Jrdevil,600+,8
1=,(whatsup),600+,21
1=,lizhusong922,600+,13
1=,skyivben,600+,0
7,eagles,526,34
8,cheng.di,520,320
9,LatticeGuy,517,146
10,taizhou,510,46
11,bukebuer,494,47
12,(lld2006),446,457
13,Shawnmaza,439,13
14,tec,436,115
15,vxv,433,13
16,liuguangxi,433,13
17,dhu_try,420,1716
18,GaoZone,408,111
19,driversetc,399,44
20,ZhouYuChen,387,567
21,Jackalope,386,2041
22,mathcraft,385,10
23,fox0571,384,2140
24,wwwwodddd,377,15
25,aaahhh,364,17
26,chzhou,361,332
27,sevenkplus,360,11
28,(Slipper),353,1294
29,ljq,339,1913
30,ftiasch,333,115
31,goalboy,325,2122
32,czp,316,4
33,int,315,84
34,mpanlei,315,52
35,zhzs,312,2765
36,vici,311,2
37,waiwaipig,307,1992
38,eming,306,2807
39,taolei,306,979
40,asmn,305,1362
41,esun-w,303,207
42,xtlisk,302,1348
43,scturtle,301,1199
44,HKX,300,1830
45,LzyRapx,293,13
46,redhill42,292,0
47,quailty,290,12
48,coolwanglu,285,2214
49,misaka20001,282,51
50,lrzh,278,257
51,l2y3n2,270,1194
52,MATH_WangXU,268,36
53,ben1222,267,2407
54,3140101958,265,145
55,jackchess,259,75
56,Weifeng_Sun,258,234
57,superdesert,257,1371
58,czgj1999,255,43
59,Rinick,254,3183
60,lidan615,252,259
61,falseskywalker,251,3296
62,xiaoyukina,251,2056
63,luyunlong,247,165
64,zscc,246,82
65,greedp,242,1556
66,Ekoms_The_Insane,241,2285
67,stir67,236,2405
68,sharpeye,236,192
69,wuyingddg,236,111
70,vapor,236,11
71,chyx,234,2034
72,(zbanach),234,320
73,BigGuava,233,3156
74,Ledrug,231,2554
75,andor9,226,346
76,strong49,226,16
77,zouxun,225,2471
78,tifa,225,651
79,Tangent,223,0
80,yangxinyu,219,178
81,lugionline,218,83
82,jasonzd,214,1105
83,qu317058542,214,352
84,Sd.Invol,214,280
85,lllllllllllll,213,1601
86,alephalpha,212,986
87,Alec_tk,212,166
88,xymeng,211,433
89,idiot94,210,3558
90,MATLABMATH,210,3555
91,hupo001,209,3374
92,mathyrl,209,913
93,bigeast,209,66
94,llhuii,208,1698
95,xbtianlang,208,1611
96,purelisp,207,2847
97,foreverbell,207,552
98,luotuoqingshan,207,32
99,physhark,206,1816
100,lyensolarism,206,92
101,Yishun,205,291
102,grf1973,205,123
103,llq17501,204,1129
104,lunjgr,204,393
105,staynight,202,1297
106,yshui,202,975
107,SkyShaw,201,2249
108,wanbo,201,1189
109,zhymaoiing,201,475
110,wcysai,201,0
111,cgy4ever,199,847
112,fjzzq2002,198,5
113,(wangh98),197,2
114,redfield,195,3140
115,kennethsnow,195,196
116,YiCyunSaBi,194,646
117,rujialiu,191,1606
118,neutrino21,190,1
119,ftfish,188,711
120,cuiaoxiang,188,463
121,lyyshp,187,68
122,taoyijie,186,279
123,ctzsm,185,685
124,sha1,184,2507
125,kaifeng,184,1858
126,bbsdkjdx,183,509
127,northwolves,182,555
128,seaker,181,2977
129,lby1990,181,2229
130,lijiaqigreat,181,262
131,xiaoshua,180,638
132,S3_N,179,623
133,yuezheng,177,414
134,(lyp2015),177,198
135,wawnx,176,1751
136,Dezhonger,176,174
137,wong.tong,175,2141
138,DarknessGuideMe,175,1820
139,(ronnoc),175,473
140,__starrify__,174,1763
141,fancitron,174,6
142,HenryYang,173,2668
143,flxj,173,0
144,(whatasha),172,1838
145,haiwangcat,172,1186
146,jameslao,172,915
147,skydark,171,1883
148,bjin,171,756
149,ssynhtn,171,216
150,Fazheng,171,37
151,NiroBC,170,16
152,(lhr0909),169,2063
153,chrisliu,169,1864
154,fwjmath,168,593
155,JTJL,168,24
156,shenyang,167,713
157,(wywcgs),166,172
158,piaofengslg,166,64
159,tif,165,1192
160,lanmaomao,165,244
161,qlf2007,164,19
162,(Bella),163,1750
163,carryyouaway,162,2265
164,phrock,161,3273
165,jingwenhtp,161,2308
166,tz397,161,155
167,lzyzizi,160,2165
168,cleaner_leon,160,1900
169,(JavierWu),160,371
170,michael_ho,160,45
171,wanying,159,2106
172,sweetJ,159,1389
173,brickgao,159,811
174,infmagic2047,159,489
175,(kiiiiii),159,29
176,maomaoloverose,158,2254
177,zmwang,158,1168
178,qshadun,157,1205
179,yinan,156,2595
180,silwile,156,2459
181,ziyuang,156,2347
182,hjf,156,353
183,lihaitao,156,317
184,seanchen,155,2262
185,RUCEric,155,2258
186,(wzx961008),155,32
187,linxh,154,3200
188,dreamsky,154,1828
189,litaoye,154,1138
190,yudx,154,1048
191,Sempr,154,266
192,huangd95,154,249
193,palayutm,154,70
194,dirtysalt,153,3175
195,chensdiscovery,153,2907
196,youngkent,153,1918
197,Legendking,153,1044
198,Junix,153,671
199,lotus,153,211
200,huanzhou2006,152,2908
201,(milkyways),152,1131
202,l1t,152,262
203,remember86,151,2329
204,aceeca1,151,1867
205,hkkhhk,151,1813
206,(dataisland),151,321
207,Nero,151,114
208,clearlove,151,8
209,xx331234,150,553
210,bluefire,149,1945
211,(li.stayhere),149,1595
212,xiaoyi,149,1077
213,melon1234,147,2637
214,(critical27),147,1880
215,knorthplay,147,738
216,Forever_you,147,64
217,mo_0820,146,665
218,yushengjsman,145,1167
219,(fishgazer),144,2319
220,alphaxiang,144,1702
221,HJWAJ,144,126
222,liuyaqiu,144,50
223,abcwuhang,144,10
224,iljyya,143,1362
225,gjyalpha,142,2129
226,txyyss,142,1835
227,Amitabha,142,783
228,wangch,141,38
229,huguang,140,3109
230,(daniel.you),140,1751
231,Gedicht,140,1501
232,yanhan13,140,1391
233,codelibrary,140,1297
234,GideonWhu,140,1095
235,xxfen,139,1557
236,(huayi),139,624
237,skyivair,138,1245
238,(friarchen),138,1240
239,Solaria,138,59
240,gnocuil,137,1408
241,(flyraibow),137,1321
242,dinghysora,137,1045
243,famx_pencil,137,174
244,ACMonster,136,1627
245,jsxylzh,136,29
246,2huluanzi,135,1959
247,hhanger,135,1940
248,mickeyandkaka,135,69
249,bovinova,134,1752
250,zhuangxm,134,149
251,matman,133,2637
252,wjthu,133,2403
253,danei,133,1050
254,sdyy1990,133,876
255,waterret,133,770
256,xyz111,133,8
257,(tmxk),132,989
258,(xieyh11),132,687
259,Ra1nWarden,132,478
260,akovski,132,182
261,cyand1317,132,66
262,helium,131,3963
263,leeduhem,131,1079
264,NBAFifa,131,669
265,(geniusnut),131,400
266,VictorWonder,131,107
267,jiangerji,130,2772
268,zxx714,130,1835
269,Heart_Blue,130,449
270,yshhq,129,2171
271,daifei4321,129,2093
272,(cwjcsu),129,981
273,Eular,129,504
274,zrq,129,51
275,(--..),128,594
276,spline,128,467
277,justinxu,127,1753
278,manandsea,127,1747
279,judaplus,127,1388
280,huntxu,127,1079
281,minqiang,127,1032
282,candyfeline,127,908
283,Eastsun,127,716
284,chuzm15,127,352
285,(XupingYao),127,172
286,leapforlove,126,2124
287,Roowe,126,2096
288,whuawell,126,887
289,Miku_chousuki,126,31
290,fuwutu,125,1656
291,forresty,125,1181
292,chenminqi,125,745
293,(547826947),125,480
294,guoheng,124,1878
295,(liuq901),124,1712
296,Bephbin,124,567
297,(huangyunict),124,235
298,(sfiction),124,68
299,xuanyan,123,417
300,leojay,122,1921
301,riku_in_japan,122,1390
302,HyperGroups,122,643
303,(FTYYY),122,182
304,Ro.C.yR,121,1792
305,Chongkai,121,1539
306,slipper_l,121,687
307,(__Andy),121,675
308,qdzcslj,120,3564
309,ncuww,120,2739
310,ljz,120,2730
311,huangcd,120,2174
312,dgg32,120,2086
313,monad,120,1642
314,(laysent),120,448
315,xw_y_am,120,255
316,(ProjectYoung),120,212
317,1400011786,120,6
318,qwertybilly,119,3564
319,dsyin,119,1821
320,PhyFrancis,119,907
321,(xinix),119,870
322,winxos,118,3072
323,laughinging,118,411
324,Protoss,118,358
325,wavellite,117,3534
326,Greentie,117,2199
327,taorunz,117,1113
328,sittingbull,117,57
329,daiwb,116,2991
330,shiinamashiro,116,924
331,(kangpengpeng),116,197
332,zball,116,19
333,mayka.i.truba,115,1701
334,bistole,115,1557
335,zechac,115,39
336,(shenlei),115,6
337,chencc,114,3358
338,mitcc,114,1529
339,yellowriver,114,1043
340,.sjtu-lyj,114,632
341,zfhammer,114,403
342,easymath3,113,1641
343,cylixstar,113,1409
344,SilverBullet,113,1159
345,(Nithouson),113,127
346,vvee99,113,59
347,zjx20,112,2420
348,huangkan,112,1551
349,akarin,112,1208
350,(707481877),112,1098
351,zhoufeng512,112,521
352,thnt,112,122
353,NiklausMikaelson,112,83
354,Honeypot,111,2994
355,nickcen,111,1861
356,(ralphjessie),111,1651
357,(eddyxu),111,535
358,cherichy,111,505
359,quietsmile,111,450
360,JeffG,110,3470
361,cnbuff410,110,1848
362,(longwosion),110,1574
363,Peeeee,110,889
364,wandering,110,244
365,xl,109,2487
366,allensong95,109,1595
367,belanov,109,1345
368,guanyishu,109,517
369,flyee,109,499
370,yanzixiang,108,3316
371,xingjianan,108,3278
372,meridional,108,1478
373,hulucc,108,1178
374,fjin,108,797
375,sunt05,108,752
376,XiaoTaoWang,108,334
377,xjlinyueru,107,2612
378,huzza,107,1862
379,AcrossTheSky,107,1122
380,magic331,107,482
381,syb9258,107,300
382,yejianye,106,2992
383,Mei.Xuelan,106,2011
384,xiekaixuan,106,933
385,huangshenno1,106,810
386,Puzzled,106,741
387,s251258132,106,343
388,haryseldon,106,254
389,Andy_Li,106,86
390,ul0402206,105,2633
391,valwang,105,2351
392,guangge77,105,1683
393,gcd0318,105,1356
394,(gedt11),105,677
395,hongyan,105,470
396,bloodwolf,105,221
397,cpy,105,73
398,lidaobing,104,3568
399,Alel,104,2735
400,yangsx,104,2653
401,MiceBiteWood,104,1985
402,citaret,104,1804
403,tanghuanan,104,1653
404,Erutan,104,1593
405,(wzw),104,1413
406,anxinguo,104,148
407,(sel-fish),104,105
408,wftao1995,104,18
409,txguo,103,3158
410,dementrock,103,2373
411,Mr.WireDancer,103,2029
412,LeavittZhang,103,2013
413,onceloved,103,1264
414,(levyliao),103,473
415,petitfish,103,437
416,lijunkang,103,169
417,mr_delphi,102,1899
418,oinil,102,1341
419,iLang,102,1334
420,Tain,102,1089
421,hikean,102,847
422,caoyi0905,102,830
423,justin03,102,298
424,dongbing,102,270
425,huizew,102,231
426,mothing,101,2501
427,yanlingevol,101,1755
428,alpc62,101,1691
429,stoundmire,101,1321
430,yun_sun,101,1209
431,(ivoryxiong),101,1036
432,yang_bigarm,101,634
433,kapok,101,401
434,rabbit_lb,101,345
435,wdztyang,101,308
436,chehou,101,105
437,amadeoh,100,2808
438,riobard,100,2735
439,jessicasco,100,2478
440,yessit,100,2358
441,Fred Lin,100,2337
442,windmisses,100,2330
443,yeah1900,100,2069
444,DUANBELIEVE,100,2022
445,meye,100,1938
446,Hooloong,100,1865
447,Fandi,100,1782
448,equation314,100,1285
449,yuniscomputing,100,1140
450,(nkzimmon),100,941
451,s0ng,100,325
452,zerosnake0,100,301
453,ljhku,99,1769
454,gameboy1024,99,1157
455,imxian,99,450
456,art9,99,90
457,bbschat,98,2720
458,changsheng,98,2344
459,(jilinxie),98,1484
460,jiufengzi,97,1859
461,Javran,97,1229
462,sailuo,96,3602
463,zenwalk,96,2344
464,liuyubobobo,96,1025
465,thinginitself,96,868
466,(bigmortz),96,774
467,Gloria,95,3278
468,MaZhanlei,95,3055
469,_Ke,95,1195
470,Sacry,95,1136
471,luobuda,95,609
472,(cyyever),95,209
473,plokzfadai,94,1943
474,pavelkang,94,1622
475,jmouse,94,1400
476,Answeror,93,2110
477,(hahahanibal),93,1488
478,zero.chs,93,981
479,paroid,93,808
480,Nilnova,93,489
481,oyyfj,92,3096
482,bigsh1p,92,1159
483,xWvxYWYxvWx,92,429
484,skywalkert,92,106
485,cq_xuke,92,88
486,coffee.stone,91,2789
487,apzc2529,91,2733
488,xuyanfeng,91,1881
489,Erjin_Zhou,91,1125
490,(zhuoliuzhou),91,240
491,manchery,91,161
492,(289728525),91,109
493,mytbk,91,2
494,giantchen,90,1852
495,CandyZ,90,1496
496,tiger2fish,90,1325
497,(yangyuxuan),90,1246
498,broots,90,1117
499,SunMoon,89,3774
500,haha_win7,89,3051
501,patrol,89,2097
502,Golbez,89,2092
503,ipodfans,89,2069
504,WJMZBMR,89,1900
505,dwh,89,1218
506,Xihuan01,89,1081
507,tieer,89,523
508,JMan_Zx,89,303
509,(grossopa),89,250
510,sjt,89,111
511,jinjing,88,3592
512,hywei,88,2276
513,saintqdd,88,1414
514,iambic,88,1318
515,yininggeta1,88,484
516,Stilwell,88,117
517,doc420836131,88,13
518,RichardCheng,87,3508
519,jinzhidong2539,87,3408
520,snake0406,87,3272
521,SsJia,87,2811
522,comaoe,87,2411
523,(nisec_eric),87,1912
524,sgm0002003,87,1846
525,jjwt,87,1563
526,kw120943839,87,1538
527,thezero12,87,617
528,founderfan,87,360
529,Dumbear,87,231
530,fingerfly,87,186
531,kererchui,87,156
532,25kaikai,87,141
533,goby,87,103
534,mpouse,86,3149
535,panda_lin,86,2693
536,chinshin,86,2657
537,yaac,86,2646
538,jieshuzheng,86,2284
539,hetong_007,86,2212
540,icedream91,86,1577
541,abbypan,86,221
542,zkl132,85,2911
543,HEU_xueyan,85,2435
544,nuhaiguhun,85,2305
545,chwang1986,85,2225
546,bamboodragonfly,85,2205
547,donggua,85,2042
548,yummiii,85,1964
549,duanyann,85,1191
550,yizha,85,1077
551,lsc930625,85,1069
552,wakemecn,85,701
553,Key_Wgh,85,649
554,mywaythere,85,382
555,yangfandn,85,158
556,saucer2007,84,2140
557,ruibz,84,1881
558,laotse,84,1716
559,zuopeng,84,1087
560,mlnwc,84,1086
561,leaveye,84,1035
562,(calvinxiao),84,640
563,(xycuckoo),84,551
564,(ylidb),84,311
565,ikindlefire,84,183
566,D_Tesla,84,0
567,Lozy,83,2276
568,(tntljc),83,1941
569,cheuk-fung,83,1768
570,koonom,83,1627
571,(shibingyu),83,1388
572,hongtengyin,83,1241
573,pierre200328,83,980
574,(Jie_HU),83,767
575,jxyz123,83,677
576,southpacific,83,42
577,OhHaHaHa,83,5
578,fdks,82,3463
579,sgi,82,2825
580,ghostknight,82,2328
581,zhaoda006,82,2307
582,bladeralien,82,1556
583,kirklovy,82,1541
584,(zariskij),82,1256
585,deepseawhale,82,1191
586,wyjail,82,1015
587,wanggen,82,935
588,(saijie),82,770
589,fizban007,82,745
590,harrysun,82,441
591,zhuifengmu,82,295
592,henterji,81,3383
593,liquanwei,81,2685
594,rdcyash,81,2500
595,TNB,81,2324
596,DaiYang,81,2056
597,ishallfly,81,1883
598,aaronx,81,1717
599,cby12,81,1382
600,fangx13,81,1380
