rank,name,solved,recent
1=,inamori,600+,0
1=,utomaya,600+,13
1=,Min_25,600+,14
1=,uwi,600+,14
5,haruya,539,2
6,ax8529221,502,24
7,triceps,486,1127
8,xsd,483,55
9,jun0,473,1308
10,chaemon,439,679
11,ariom44,419,4
12,rokusuke,414,2
13,jujaji,412,458
14,rng_58,404,1757
15,maikaze,398,21
16,__math,391,456
17,hidesugar,391,5
18,maspuyo,384,393
19,Takai,383,2146
20,tsuchiya.yoshihiro,383,393
21,touma,380,1
22,niino,378,1603
23,kozima,378,195
24,manman,367,121
25,Kawazoe,360,1840
26,jeneshicc,357,1144
27,sarasouju,344,345
28,hakase,333,2217
29,herumi,328,1657
30,lycaste,321,14
31,natsugiri,319,245
32,mame,318,2480
33,(garnacha),316,28
34,tokoharu,310,447
35,SANSEN,304,37
36,(Lenqth),303,113
37,kyusuke,299,1795
38,naoya_t,299,839
39,pp6pk,296,96
40,imgry22,289,2
41,stqn,288,1140
42,koji_t,283,853
43,kaoru,281,2827
44,nu4nu,281,249
45,ko12345,280,1030
46,yasuyuki_abe,275,111
47,sO3SrLCr4Rqb00Zr4nIYCVBPZ_oFimST,271,130
48,tak,270,1675
49,cddddr,269,1390
50,steelydon,265,1928
51,airobo,264,2064
52,Mi_Sawa,264,1079
53,walkover,261,404
54,my316g,261,144
55,Rio,259,3021
56,aitdccd,258,18
57,ecottea,257,961
58,rst76,252,3235
59,tbsk,250,2637
60,T_GYOUTEN,247,2321
61,ush,247,1241
62,homuler,245,1393
63,tomerun,245,560
64,yamaguch,245,8
65,sinapusu2002,236,926
66,yambi,235,2579
67,ebiel,228,826
68,funnything,225,1205
69,minke,223,3471
70,kinaba,223,3461
71,ocean-city,223,2576
72,takamura,223,41
73,oxy,222,2544
74,(NORI_2),222,535
75,m-riho,221,583
76,Chates0705,221,540
77,konoyono_subetega_nikui,220,911
78,LayCurse,220,427
79,OKUDA_Yoshifumi,218,55
80,fksw,218,11
81,kunkun,217,2722
82,isomura,217,314
83,akihiro4chawon,215,2412
84,reirei_As,212,130
85,ryomiya,211,41
86,miyano,209,305
87,chromia,205,14
88,square1001,204,13
89,Naoki_M,202,670
90,tk2,200,867
91,fummy64,199,2409
92,simorin,198,91
93,shaoling,193,1981
94,hirose,192,28
95,nagihito,191,1278
96,nomeaning,191,971
97,kerike,191,611
98,y2q_actionman,190,2446
99,halwhite,190,2427
100,taku0344028,186,1975
101,asaq,186,1753
102,JeromeLefebvre,184,1001
103,J_A,183,2810
104,nekosenyo,183,451
105,from-nuis,183,147
106,hariharsha,183,3
107,shinichi,181,1154
108,ludimma,180,653
109,yumichi,179,1750
110,ogiekako,179,1275
111,tsb,178,2336
112,KenjiH,178,1158
113,kentaro.wakai,178,27
114,cojna,177,1872
115,tar0t,177,372
116,syasuda,177,115
117,akira.08280,176,1058
118,(takayuki.ohata),176,582
119,kobayashikorio,175,577
120,askaky,173,1485
121,carpenter_bee,172,365
122,letter,170,3650
123,faryad,169,832
124,gomis,169,45
125,Masaki,168,1147
126,Ark__,168,215
127,Kurayu,167,1112
128,sakky711,167,364
129,kik,166,2892
130,yamato,166,1378
131,kikai,166,1191
132,isizakit,165,3285
133,reipan,165,2057
134,moon_watcher,165,563
135,peria,165,486
136,Pachicobue,165,86
137,nobu_k,163,3649
138,uti2013,163,1911
139,suj2to,163,285
140,Okamitsu,162,161
141,yudedako,162,4
142,kurikuri999,160,244
143,2ndmk2,158,1639
144,trinitrotoluene,157,1405
145,takonoashi,157,716
146,deltacat,157,8
147,foota,156,2948
148,(utmath),156,2070
149,mei_narou,156,277
150,altnelico1,156,16
151,yatt,155,1978
152,taiji,155,1956
153,peanutsjamjam,154,1867
154,zawisha,154,42
155,nogz,153,2630
156,pprk,153,2522
157,shimizu1950,153,2488
158,hidetakak2,153,58
159,makkin-2,152,566
160,todo,152,43
161,katsu33,151,1981
162,arkhe,151,485
163,noriok,151,14
164,shuyo,150,2778
165,takayuki,150,2732
166,hm00061,150,2675
167,nisshy,150,1231
168,fooractal,150,405
169,masaaki,148,1697
170,(pute293),148,1084
171,itchyny,148,895
172,kinjo.yukari,148,556
173,clotz.sugar,148,208
174,kyunkyun,147,1476
175,nobsun,146,2521
176,magickmaster,146,1671
177,akipom,146,164
178,TakahisaC7,146,137
179,mune.k,145,1592
180,tounai,145,1375
181,leafmoon,145,983
182,maehrm,145,743
183,kei10in,145,707
184,srd7,145,636
185,Yuichiroh,145,249
186,186,144,2645
187,kimit,144,950
188,xyz600,144,307
189,lpocean,143,2566
190,(mikeCAT),143,1283
191,senna,142,3451
192,(NokubiTadaharu),142,2052
193,oteru50,141,23
194,okagawa,140,2554
195,masahiroakiko,140,2509
196,ksmakoto,140,2402
197,lynx,140,906
198,kyomei,140,418
199,penetole,139,1285
200,Keno42,139,510
201,jyokun,139,81
202,tarumi,138,1324
203,riktor,137,2094
204,gifnksm,137,1052
205,alpicola,136,2094
206,yasmat,136,1024
207,(zeppeki),136,711
208,nase,134,2782
209,whitypig,134,2286
210,okazaki,134,1977
211,deep_blue,133,2757
212,take4310,133,1804
213,norio,133,1388
214,61mg,133,965
215,koshian2,132,2565
216,Koi,132,564
217,tomori_nyao,132,447
218,y.nishida,132,252
219,echizen_tm,131,2560
220,tcptr,131,2100
221,machy,131,1741
222,todaemon,131,191
223,t5tmy,131,25
224,hoge,130,3044
225,Kouichi_Nakagawa,130,1355
226,wataken44,130,1230
227,pekempey,130,97
228,schrodin,129,3353
229,DENAM,129,1491
230,ksato,129,1390
231,tkyjhr,128,2302
232,corbeaux,128,2281
233,hnw,128,752
234,hadrori,128,685
235,hide8,128,365
236,TangentDay,128,288
237,khammer,127,2976
238,eoi,127,2355
239,mugenen,127,1756
240,choyotaura,127,1199
241,z_kro,127,1081
242,hiromi_ayase,127,528
243,(taijin0721),127,333
244,kosakkun,127,229
245,hachimura,126,3238
246,osa_k,126,1375
247,xy_nak_hs,126,974
248,haseguwa,126,218
249,yabuki,125,515
250,komkom3141,125,468
251,(ProjectSeagull),125,269
252,kazushi,125,15
253,soz0345hooky,124,3226
254,dton,124,2548
255,fvbb431,124,949
256,aquazul,124,309
257,mamekin,123,2072
258,nagaoka,123,100
259,key,122,2941
260,AMIO,122,917
261,likr,121,2243
262,fujiwara,121,1211
263,pinefield,120,2252
264,caesark,120,1167
265,AtsushiNagaoka,120,349
266,bQKuAy26,120,80
267,odz,119,3523
268,masahiro.sakai,119,3018
269,tnoda,119,1839
270,ogahide,118,2300
271,yoshimoto,118,1818
272,tasusu,118,1691
273,nishi6,118,1279
274,x2357,118,1218
275,rabbit_TR,118,385
276,qrrakakh,117,2086
277,kinoh,117,2023
278,kroton,117,1844
279,nissingeppo,116,2146
280,ttu_hs,116,1534
281,maesiro,116,1394
282,Koshin,116,482
283,TetsuyaIzu,116,301
284,patterl,115,2819
285,kinketu,115,1645
286,szxnkl,115,1320
287,suroyuu,114,3546
288,phji,114,3502
289,tkhiguchi,114,2552
290,Toyoashihara,114,474
291,hogeover30,114,226
292,kyouso,113,2917
293,pudeyuki,113,2831
294,IMOKURI,113,1530
295,ktaobo,113,1511
296,(root16),113,50
297,noppo,113,47
298,hmakino,112,3269
299,unagi,112,2927
300,ichirin,112,2737
301,tos.lunar,112,2598
302,miki16g,112,1105
303,osushi,112,37
304,dahui,110,3633
305,smat,110,2359
306,hata,110,1811
307,aki_rubix,110,1565
308,gtom,110,1545
309,tosan1984,110,1498
310,msylw,110,1343
311,yuizumi,110,489
312,plonk,110,458
313,rydia001,110,11
314,kogumamisha,109,2118
315,mcU3bWAV,109,1275
316,saki,109,855
317,ryochan,109,222
318,yamatchan,108,1356
319,kazutanaka,108,1275
320,okaduki,108,1042
321,ma0001,107,2882
322,tatsuyafw,107,2488
323,takane,107,2310
324,qfa,107,1912
325,yowa,107,1765
326,wotsushi,107,1213
327,matsulib,107,1211
328,mirac,107,483
329,tjake,107,393
330,njellyfish,107,281
331,pora_myodra,106,1250
332,ryo.i,106,17
333,ichyet,105,3426
334,nineties,105,2630
335,pgf2,105,2395
336,naoki.kp,105,1756
337,piyoko_212,105,1000
338,yz,104,3433
339,DA_BOSE,104,2830
340,lispest,104,2064
341,fluffyowl,104,1707
342,skobayas,104,1677
343,Susisu,104,1221
344,Suzaku,104,1194
345,jame_sparker,104,420
346,stmasa2016,104,293
347,nishinojunji,104,4
348,jun-s,103,3726
349,mshkh,103,3383
350,wand125,103,2343
351,zono244,103,2186
352,gnatpj0614,103,928
353,d_nishiyama,103,576
354,UmeyaMann,103,438
355,hellowd,103,172
356,namakemono,103,131
357,s10d,102,2829
358,kogecoo,102,1787
359,soukana,102,1510
360,takaiy,102,1101
361,joll,102,302
362,zinc,101,3570
363,yutaka_j,101,2239
364,nomnel,101,2188
365,213R,101,1854
366,sys979,101,1663
367,keiji-mu,101,543
368,snuf_kin,101,167
369,fumi,100,3434
370,m_Phantom,100,3433
371,taichiu,100,2955
372,shnya,100,2619
373,termat,100,2610
374,yuta25,100,2483
375,(INATA),100,2331
376,kanensei,100,2213
377,matsuta,100,1859
378,battamon,100,1840
379,hotpepsi,100,1759
380,mikami,100,1384
381,(rhyean8),100,1373
382,okanonet,100,1130
383,Zauberer,100,946
384,yama,100,445
385,schwarznecken,100,286
386,(asattely),100,129
387,tsutomu,99,3233
388,solitary7bd,99,1921
389,seto,99,1523
390,yskcon,99,1495
391,maeshiro,99,234
392,1tk,98,3706
393,xy_nak_jl,98,345
394,dryaemon,98,175
395,mokos,97,3431
396,condotti,97,3262
397,suppy193,97,491
398,isato,96,2691
399,tanzaku,96,1308
400,norisuke,96,652
401,yuzupom,96,545
402,huwakun,96,15
403,electrolysis,95,3364
404,mi-chang,95,3288
405,subaru,95,3222
406,hs484,95,1756
407,catindog,95,896
408,mayoko,95,471
409,narita,95,222
410,dshiota,95,88
411,wanson,94,3239
412,t-uchida,94,2749
413,takfjt,94,2503
414,na2hiro,94,1639
415,muupan,94,1530
416,onigiri11235,94,485
417,kawasaki,94,152
418,kono,94,149
419,mena_nann,94,75
420,tomicchie,93,1862
421,vineyoshi,93,919
422,E869120,93,670
423,lotz,93,585
424,hogehoge,93,483
425,Szigeta,93,52
426,supiar17,92,3218
427,folsena,92,2299
428,_iota,92,1651
429,kajibo,92,1561
430,asi1024,92,515
431,napaa,92,133
432,(ref4d),92,61
433,Konno_Ryo,92,20
434,perfec,91,3467
435,miyabiarts,91,2594
436,nagatomutu,91,2573
437,killy971,91,1582
438,ichyo,91,1140
439,intestine,91,581
440,Lycoris_i,91,183
441,hubtoyo,90,2956
442,eagletmt,90,2799
443,korieru,90,2499
444,meltice,90,2411
445,phyllo,90,1918
446,merom686,90,1788
447,_koji,90,624
448,Hidemaro,89,3199
449,Brenhilt,89,1751
450,hjk,89,1406
451,gfaogr123,89,1348
452,seikichi,89,1315
453,tomoki,89,833
454,pit_viper,89,817
455,NAKAJIMA_Junichi,89,652
456,coricozizi,89,409
457,kodama417,89,299
458,graySpace999,88,3467
459,nida,88,3051
460,abeken713,88,1261
461,onuma,88,1044
462,reduls,88,796
463,tanutarou,88,357
464,cpi_abu,88,76
465,skycholy,87,3003
466,ozy4dm,87,2864
467,akihito123,87,2603
468,newtomn,87,2346
469,Hiroshi_Murata,87,2321
470,y3eadgbe,87,2290
471,nobu,87,1405
472,binbo-himanasi,87,1076
473,hatoo,87,1048
474,roiti46,87,969
475,belltailjp,87,626
476,yinamori,87,624
477,omochi,87,590
478,uhouho_gorilla,87,588
479,angel-p57,87,577
480,outerinside,87,409
481,ydash,87,364
482,sweetberry,87,51
483,expajp,87,2
