rank,name,solved,recent
1,(jaehyunp),581,14
2,hongraejo,412,1558
3,ainu7,330,876
4,shinminseon,330,24
5,allenjeon,314,1
6,sungmin817,311,62
7,(ssk),307,819
8,emppu,262,95
9,(sunleonid),261,1476
10,kcm1700,257,1244
11,thkang,243,1724
12,muse,240,0
13,JiminP,238,1383
14,noxnia,234,463
15,Bubbler,232,293
16,kanie,230,417
17,Baekjoon,228,743
18,Doju,220,277
19,ipkn,218,1254
20,communia,210,1674
21,zlzmsrhak,209,174
22,Iris_harp,208,2324
23,petdrow,206,467
24,(lakshimi),205,622
25,sharb,204,2755
26,l10veu,202,2532
27,changrak,201,282
28,00,199,1410
29,jjhangu2,199,711
30,stenhammar,193,3458
31,eyTns,193,516
32,svchost.exe,193,143
33,uws8505,189,3332
34,(mecatos95d),188,1026
35,bumsook,186,91
36,veshboo,184,150
37,udaque,181,1575
38,(wooyekim),178,1892
39,skim0119,177,10
40,optimizerjerry,176,2941
41,p.istrati,176,1836
42,alexum,171,5
43,Breakun,170,1274
44,lem,165,1397
45,ddaker,164,2474
46,Unused,164,437
47,jh05013,162,54
48,Teferi,161,2991
49,gok01172,160,2697
50,yongwhan,160,1110
51,kimrip,158,979
52,choyb,157,3041
53,pjsdream,157,1089
54,zhuny,157,265
55,Frizzle,157,251
56,dalpaeng2,156,1000
57,cfranck,154,0
58,(j1wan),153,689
59,Jungkeun,152,740
60,hillcanon,149,249
61,kjw0612,147,3141
62,absenty,142,2872
63,veblush,141,1936
64,tjfktj,141,774
65,larez,140,563
66,kyumyonglee,140,542
67,ychoi100,137,1369
68,(juncoder),134,1024
69,Kyoseon,133,2903
70,yadi0119,132,1621
71,HeeM,132,477
72,kgw0507,131,2559
73,hij8765,131,1524
74,colorized,131,487
75,(sy0414),130,717
76,Sait2000,130,21
77,bam8695,129,1054
78,hoo,128,2273
79,gsm291,128,2190
80,sehee382,127,2605
81,kazel,127,1255
82,rein01,125,3295
83,frigen,125,1769
84,go_to_dmc,125,686
85,dareun.geum,124,130
86,daewonyoon,123,837
87,lifthrasiir,122,2405
88,daegeon,122,2
89,(kth3321),121,2254
90,(chiwook),118,2030
91,kheled,117,2918
92,sutekine,117,2119
93,J.H.M.,117,66
94,EnDorphin,116,2052
95,(Byungwoo.Jeon),116,218
96,kyduke,114,158
97,DG,112,3172
98,falsetru,111,2941
99,yangbak,111,2041
100,neurome,110,1505
101,tpzcln,110,1328
102,insikk,110,1178
103,Abalcon,110,1053
104,Ainodyne,109,590
105,astein,108,331
106,teddywith,107,3106
107,PhoBiA,107,1181
108,hongsch1,107,226
109,xenosoz,106,2218
110,cdg720,106,1994
111,4135667,106,662
112,ntalbs,106,288
113,panda,105,1509
114,(pse1202),105,792
115,ehooizlo,104,1527
116,keugbang,104,329
117,dlimpid,103,2596
118,bosscq,102,1016
119,whitehwarang,102,271
120,libe,101,2062
121,joinsung,100,3657
122,sim0629,100,2694
123,nullstein,100,2446
124,(kparkeuler),100,30
125,(dalgu),99,29
126,ewmkkpe,98,2213
127,(ensual),98,2060
128,kiyohwan,97,1550
129,younghan,97,267
130,KimHoSik,96,3277
131,sangpaz,96,865
132,helicity,96,165
133,friend1226,96,152
134,(123harim),95,1137
135,dotorya,95,394
136,rai,94,2411
137,hwijung,94,487
138,desti,93,1970
139,king--kong,91,580
140,struessel,90,2023
141,epjs0126,90,1946
142,hitel00000,89,3536
143,skxmremd,89,1573
