rank,name,solved,recent
257,Morphie,239,0
325,Zkid,220,0
326,(kenbrooker),220,0
39,16777216,423,0
41,moovybuf,418,0
447,Alex52,200,0
557,countyguy,182,0
558,dskabelund,182,0
58,stevefr01,377,0
601,piguy314159,176,0
602,tigrenok,176,0
79,(robot-dreams),353,0
960,plevande,147,0
989,HalfwayCrook,145,0
183,mdean,265,1
1=,willhsmit,600+,1
211,(Andy_Dienes),254,1
284,gerglo,231,1
51,bdolson,396,1
922,tkoz,150,1
943,cdspitzer,148,1
959,rgiuli,147,1
1=,beta_projects,600+,2
25,ecnerwala,479,2
409,moabird,205,2
54,Anton_Chigurh,388,2
680,bbejot,168,2
710,boneheadmef,165,2
736,mfeyg,162,2
931,mcj_haskell,149,2
942,derekjames,148,2
958,_epistemologist,147,2
9,ving,594,2
40,pismobiker,420,3
517,jfirester,187,3
614,(michael.s.emanuel),175,3
457,calypsonic,198,4
728,dnormand,163,4
846,gvance,154,4
882,africh,152,4
156,(vbrhjajcn),280,5
22,devjoe,488,5
15,ubiquitousgrape,540,6
30,silver83p,451,6
340,(nimr0d),218,6
658,irchans,170,6
701,judygu,166,6
105,jwsiegel,326,7
131,hexadoodle,301,7
523,SageEuler,186,7
527,jeffbaumann,185,7
48,modem,398,9
800,AlanWE_332a5,157,9
538,wtrotter,184,10
69,lackritz,359,10
117,(deansm),310,11
1=,unime,600+,11
232,Nyarpy,248,11
467,GNFS,196,11
537,benhoch13,184,11
62,(jake223),371,11
1=,Stache,600+,12
391,Varcho,208,12
507,ravdin,189,12
83,(heteroing),346,12
12,SlavaKabanovich,569,13
16,DerekLedbetter,539,13
1=,cmk,600+,13
1=,radeye,600+,13
390,dawghaus,208,14
782,bottesini,158,14
47,tcarr,401,15
600,Steppenwolf99,176,15
103,(zandrewv),327,16
141,jimbo_elephant,291,16
396,bruckner,207,16
439,xlearsi31,201,16
476,normanus,195,16
78,Ryals,355,16
957,freakazoid,147,16
463,(pgcomp),197,17
562,sroot,181,17
669,kronion,169,17
152,wilywampa,283,18
719,(paher),164,19
93,mdm,333,19
143,philiplu,290,20
377,wfdoran,210,20
727,mvkid,163,20
988,thebnq,145,20
196,gman007,260,21
108,anythingapplied,321,22
29,amcalde,456,22
67,s.c.koehler,364,22
17,pyrolykos,521,23
446,Snerd,200,23
941,Mmm313,148,23
165,jsshep93,275,24
239,EclipseEnigma,244,24
574,arpsmack,180,24
77,Zach-Lurf,355,24
881,eparlin,152,24
33,(jpaulson),446,25
475,dbb3,195,25
591,ddgoff,178,26
312,benner4520,223,27
37,Robert_OConnor,437,27
493,troom,191,27
86,(dgokman),344,27
357,raphey,214,28
636,bcc32,172,28
987,ARoss,145,28
138,Schu-ism,294,29
244,eighthcoda,243,29
679,(RugbyRaizel),168,29
809,misterjay,156,31
85,rammek,344,31
635,theodoretliu,172,32
217,jrouse,252,34
356,MathIsAwesome,214,34
745,timkostka,161,34
456,blueyoshi321,198,35
140,(Quadratic),292,36
270,alxcoh,235,36
634,gwrightnyc,172,36
151,tlesaul2,285,37
408,JackODonohue,205,37
903,buohara,151,38
434,hacatu,202,39
767,(Recondite),159,39
858,dswenson,153,40
260,CBurkhart,238,41
488,schreck,192,42
248,mathcounts4,242,43
238,BartSalt,244,44
66,mark,367,44
940,ZelmersZoetrop,148,44
150,Ted,285,45
462,BobTheGreat,197,45
718,SirMrGuy,164,45
536,JamesRauen,184,46
178,mcslane,268,48
259,(kennethklinger),238,48
106,LarryBlake,325,49
573,noogiedunn,180,49
339,jfreiberg,218,51
553,(gblais),183,51
80,jarip,351,53
308,(caelum02),224,54
321,tgp4,221,55
158,nkbk,278,56
423,Derek_Clegg,203,57
14,mathseal,558,58
296,mccaskey,227,58
195,brownkenny,260,59
230,(CheeseLord),249,60
939,elendia,148,61
100,(nishanth17),328,63
149,mcamac,286,63
687,merlinnimue,167,64
81,JohnMorris,349,66
930,Dakfro,149,66
364,(dcoles),212,67
781,aspen8131,158,67
65,(kelvinator),367,68
1=,al13n,600+,69
974,Kugnae,146,69
433,nsg,202,70
921,dazuma,150,70
190,bjm2144,261,71
273,rlipsett,234,71
277,joe.giuliani,233,71
292,grahamholmes,228,74
32,Murphy,447,74
316,chahld,222,75
214,1011010110110,253,76
808,snydej,156,76
53,candells,390,77
336,yli198,219,78
572,(dgottner),180,78
479,kirkb,194,79
590,ct075,178,79
647,eskaug,171,80
120,Abe27342,309,81
92,bunderscore,334,81
91,henru_wang,334,82
438,Forehead,201,85
226,slfotg,250,87
57,dgiaimo,379,87
216,mauro7inf,252,88
229,rgao14,249,91
552,BH4,183,92
155,CUViper,281,93
668,SuckItLipkin,169,93
338,samnolen,218,94
938,deanaw,148,97
551,ultrakeet,183,98
302,Jacob_Elafandi,226,99
686,(desaic),167,99
831,roxer94,155,99
929,lpage,149,99
256,billbo2424,239,100
221,rcp2361,251,102
417,ferret30,204,103
335,jzheller,219,104
485,Dikkemik,193,104
735,Gimmesumcredit,162,104
376,joelsmith,210,105
301,dcterr,226,106
170,kubluck,273,107
734,CarbonFerrous,162,107
124,smacke,305,108
146,rathmann,287,108
432,Eventhorizon,202,108
613,(jbuysse),175,108
113,blakeney,315,110
667,Artemish,169,110
164,TickaJules,275,111
678,evanseverson,168,111
74,(fahrbach),356,111
973,geekynerd,146,111
220,tguinard,251,113
612,rphenson,175,115
63,grantcarlson,368,115
717,(bednarz0),164,115
276,lingomaniac88,233,116
61,navghtivs,372,117
130,nwalton125,301,118
134,(cjqcjq),297,120
845,cjfred,154,120
726,(gh314),163,123
136,NabiNaga,295,125
291,GoHawks,228,125
355,phob,214,127
111,Thiros,317,128
556,ArrayMaster3000,182,130
972,andrew-i,146,131
416,nasmith99,204,135
123,wakkadojo,308,139
18,(sivakd),520,139
52,universalset,392,140
288,makhoma,229,142
204,KenB,256,143
19,aruff,513,144
550,alexdor,183,144
571,RikSm,180,144
902,nullman,151,144
225,quicksilver,250,146
375,Deathfire-san,210,146
700,mndrake,166,147
646,(DavidBurgess1997),171,149
387,browni3141,209,150
535,sligocki,184,150
23,phsr,486,151
549,intrepidcoder,183,151
611,humcalc216,175,151
415,cryptofalker,204,153
1=,dev_random,600+,154
324,Rfloyd01,220,159
363,superb_owl,212,159
46,oldpatzer,408,161
361,montyn,213,166
619,adang1345,174,166
474,gjanee,195,167
971,pj6444,146,167
725,jweibley628,163,168
548,atkins,183,169
699,Dot,166,169
880,mps,152,170
956,shchmue,147,171
181,karldray,266,172
844,SheldonD,154,172
645,gurpreet_09,171,173
799,(Brian.Mellendorf),157,175
272,xan,234,176
498,vscotto,190,178
555,torgan,182,179
98,akimitsu,329,179
589,edjah,178,180
287,Valar_Dev,229,181
350,mchalek,215,181
487,Iguana32,192,181
879,ewccatch,152,181
395,ExpHP,207,182
127,godmar,303,183
207,qta,255,183
31,doctornick5,449,185
263,(chsl95),237,187
311,ckthomas,223,190
657,awesomeusername,170,191
733,PerryJer1,162,191
213,Abednego,253,192
716,jprobin,164,193
857,(haxdogg),153,194
24,pwensing,480,200
547,aaymeloglu,183,201
484,jwpowell,193,202
349,rjaguar3,216,203
633,doc_ou,172,205
830,hime,155,207
166,(xleviator),274,210
199,enrev,258,210
389,wndrobny,208,210
492,danmedani,191,215
345,ibid,217,216
44,mrauen,412,216
237,tjohnson314,244,217
374,(cdmoen),210,217
180,dcclyde,267,218
405,katelyng,206,218
570,mustelid,180,220
483,squidaction,193,221
625,kris.dude,173,221
295,jbum,227,222
154,(catherd),281,223
522,b49P23TIvg,186,224
986,Sandamnit,145,225
20,(kingvash),502,226
534,jsemko,184,231
323,slicedclementines,220,232
569,nseward,180,235
215,wigie,252,236
901,fractaly,151,236
194,howzat2,260,239
455,saryakhran,198,241
219,jbbower,251,245
758,bonenfan5ben,160,251
985,(llasramblue),145,251
644,momentomori,171,254
354,lilleswing,214,255
437,(r4ven),201,258
160,dmeng,276,262
176,fissional,269,263
251,ArtVark,241,265
970,tranzar,146,265
709,shendart,165,270
780,pkoes,158,270
900,kinetical,151,271
422,byorgey,203,275
175,excelgeek,269,276
798,skyroller,157,277
110,quilan,319,278
11,binonunquineist,571,279
13,akdheirl,568,279
546,xloxk,183,281
955,victorliu,147,281
829,jamarcus,155,284
388,(bphillab),208,286
656,(geoffreyiy1),170,287
843,gideonleeper,154,287
568,heropup,180,291
268,davidgillis,236,292
348,jeek,216,292
212,losttribble,253,297
473,wgpollock,195,297
545,latkin,183,297
632,jstelly,172,300
766,kevmo314,159,304
404,acotis,206,307
797,jhogan,157,307
899,dpark3542,151,307
878,KevinRawlings,152,308
45,donhatch,410,312
757,QuasiChameleon,160,314
294,chulsky,227,316
631,hshearer,172,316
466,qsari,196,318
370,Dumbo52,211,321
394,ghurst,207,322
344,wartysoybean,217,323
436,zifmia,201,326
70,CreativeUsername,358,327
666,yaks_hairbrush,169,330
445,(ketankshukla),200,331
856,(David_Nickerson),153,331
334,gmgerken,219,335
796,Nik654,157,338
582,yred,179,341
21,Eigenray,493,343
655,LisaC,170,344
497,TJQIV,190,345
247,(griphyn220),242,348
42,mckennar,417,349
685,nsheetz,167,351
624,smeds1,173,352
928,scar,149,352
115,blaisegassend,312,356
842,11111011101,154,366
567,involution,180,367
26,antwerpn,471,370
306,jquinn2,225,370
403,amberite,206,373
269,BoltonBailey,235,374
258,hweigel528,238,377
599,artemb,176,380
142,(markr),290,382
193,xantoscguin,260,383
828,liub,155,386
877,aldesuda,152,386
90,Lewin,341,386
954,azax1,147,390
431,downtownknits,202,391
43,(PeterW),413,391
430,dogbox,202,392
544,(ciphergoth),183,396
449,tklalmighty,199,397
496,benhummon,190,399
360,Stashio,213,400
491,bsetzer,191,404
533,zachzane,184,404
393,Oatmeat,207,416
429,teekyman,202,417
89,thorfax,342,417
10,(MarcusAndrews),591,424
122,MrPoush,308,424
698,kvom,166,424
73,jarsyl,356,424
97,athenahealth,330,424
677,Tureld,168,425
855,JLLagrange,153,426
779,robertel,158,431
171,dshabes,272,436
96,xharfire,330,438
984,BeTheDuck,145,438
684,Blenheim,167,439
744,ruakh,161,439
665,LucasBrown,169,446
275,(edipusflex),233,447
300,nemtiax,226,451
448,jke67,199,451
654,simplicio101,170,451
333,svensen,219,459
732,(Babamots),162,459
756,darebear,160,460
243,lirkbald,243,461
643,masonium,171,464
795,marsevern,157,465
683,gte206w,167,470
697,tschultz,166,472
126,arbrad,303,473
116,fizzix,311,474
937,unc,148,476
512,awo,188,478
236,abecker,244,482
708,avi972,165,485
461,yamazaki256,197,487
765,mallen84,159,488
206,jbrennen,255,491
224,sdx96,250,492
953,jbeyer,147,494
460,danielf,197,499
743,fourteenrivers,161,499
205,vorbis,255,501
72,DanRoss53,356,506
369,Glitch29,211,511
283,NoHire,231,513
315,demongolem,222,514
242,(ncmilder),243,515
532,(zefrosnbrick),184,517
618,damon_achey,174,517
362,KORENA,212,523
490,gangien,191,526
274,(szymczak),233,529
177,(RadioChuck),268,534
778,(smenon.euler),158,534
189,xZork,261,535
511,jschorr,188,536
182,(Bo102010),265,538
920,Zhongxia,150,541
898,dougeuler2,151,543
581,(pheinrich),179,548
827,(matthew.townsend),155,556
27,rprestezog,459,558
876,curitre,152,567
969,SamHarwellCSharp,146,568
588,Cosmic,178,572
320,JammaB,221,582
314,(louiehelm),222,583
919,ertoz,150,589
777,sykora,158,590
145,thesunmaster,289,592
776,(rmudroch),158,592
402,dbatche3,206,594
707,HowLongBeen,165,595
186,ecowarrior,262,601
918,belovedeagle,150,601
163,Atmospheric,275,603
742,(Murray65536),161,609
129,vvenkai,301,610
465,vitaminz,196,610
135,lomont,296,619
228,malisper,249,622
319,pinger,221,624
