rank,name,solved,recent
1=,radeye,600+,13
1=,beta_projects,600+,2
1=,dev_random,600+,154
1=,willhsmit,600+,1
1=,Stache,600+,12
1=,al13n,600+,69
1=,unime,600+,11
1=,cmk,600+,13
9,ving,594,2
10,(MarcusAndrews),591,424
11,binonunquineist,571,279
12,SlavaKabanovich,569,13
13,akdheirl,568,279
14,mathseal,558,58
15,ubiquitousgrape,540,6
16,DerekLedbetter,539,13
17,pyrolykos,521,23
18,(sivakd),520,139
19,aruff,513,144
20,(kingvash),502,226
21,Eigenray,493,343
22,devjoe,488,5
23,phsr,486,151
24,pwensing,480,200
25,ecnerwala,479,2
26,antwerpn,471,370
27,rprestezog,459,558
28,mathguy314,456,1116
29,amcalde,456,22
30,silver83p,451,6
31,doctornick5,449,185
32,Murphy,447,74
33,(jpaulson),446,25
34,(DjinnKahn),442,1589
35,neverforget,442,881
36,supdude1,437,1544
37,Robert_OConnor,437,27
38,thundre,433,1392
39,16777216,423,0
40,pismobiker,420,3
41,moovybuf,418,0
42,mckennar,417,349
43,(PeterW),413,391
44,mrauen,412,216
45,donhatch,410,312
46,oldpatzer,408,161
47,tcarr,401,15
48,modem,398,9
49,nirenjan,397,1972
50,(Rapptz),397,677
51,bdolson,396,1
52,universalset,392,140
53,candells,390,77
54,Anton_Chigurh,388,2
55,(ChamZord),384,2150
56,shazzam,379,1545
57,dgiaimo,379,87
58,stevefr01,377,0
59,(davin),376,1163
60,jboeing,373,677
61,navghtivs,372,117
62,(jake223),371,11
63,grantcarlson,368,115
64,Ben.Smallpox,367,1222
65,(kelvinator),367,68
66,mark,367,44
67,s.c.koehler,364,22
68,Anyun,362,2145
69,lackritz,359,10
70,CreativeUsername,358,327
71,diffeqkid,357,817
72,DanRoss53,356,506
73,jarsyl,356,424
74,(fahrbach),356,111
75,cdoumar,355,1976
76,eporter,355,1886
77,Zach-Lurf,355,24
78,Ryals,355,16
79,(robot-dreams),353,0
80,jarip,351,53
81,JohnMorris,349,66
82,adasgu,348,1895
83,(heteroing),346,12
84,4rm4g3dd0n,344,2167
85,rammek,344,31
86,(dgokman),344,27
87,whileTrue,342,1341
88,Googly,342,1280
89,thorfax,342,417
90,Lewin,341,386
91,henru_wang,334,82
92,bunderscore,334,81
93,mdm,333,19
94,lewanj,332,2627
95,MonkeyTheCode,332,1662
96,xharfire,330,438
97,athenahealth,330,424
98,akimitsu,329,179
99,genemachine,328,2334
100,(nishanth17),328,63
101,jramanat,327,1340
102,(Jamie_),327,1028
103,(zandrewv),327,16
104,shadowx360,326,2419
105,jwsiegel,326,7
106,LarryBlake,325,49
107,dmitrybrant,324,2690
108,anythingapplied,321,22
109,chempro,320,714
110,quilan,319,278
111,Thiros,317,128
112,(kavigupta),317,0
113,blakeney,315,110
114,lukasz_s,312,1283
115,blaisegassend,312,356
116,fizzix,311,474
117,(deansm),310,11
118,BrianHuffman,309,2652
119,hdtscott,309,1240
120,Abe27342,309,81
121,NickMcG,308,2212
122,MrPoush,308,424
123,wakkadojo,308,139
124,smacke,305,108
125,mp1,304,829
126,arbrad,303,473
127,godmar,303,183
128,amling,301,2845
129,vvenkai,301,610
130,nwalton125,301,118
131,hexadoodle,301,7
132,Tool,300,970
133,GeneralRetard,298,2908
134,(cjqcjq),297,120
135,lomont,296,619
136,NabiNaga,295,125
137,krashman,294,1025
138,Schu-ism,294,29
139,ralphmerridew,293,2566
140,(Quadratic),292,36
141,jimbo_elephant,291,16
142,(markr),290,382
143,philiplu,290,20
144,whc67,289,1710
145,thesunmaster,289,592
146,rathmann,287,108
147,nybbler,286,2969
148,jdrandall123,286,2788
149,mcamac,286,63
150,Ted,285,45
151,tlesaul2,285,37
152,wilywampa,283,18
153,eric0511,281,2453
154,(catherd),281,223
155,CUViper,281,93
156,(vbrhjajcn),280,5
157,LeoTheAwesome,278,1742
158,nkbk,278,56
159,sizzzzlerz,277,2368
160,dmeng,276,262
161,bmcgarvey,275,975
162,msauhta,275,879
163,Atmospheric,275,603
164,TickaJules,275,111
165,jsshep93,275,24
166,(xleviator),274,210
167,RandyShane,273,1801
168,fredh,273,1306
169,lkkoller,273,820
170,kubluck,273,107
171,dshabes,272,436
172,jgrilly,271,2396
173,vamoose,271,1575
174,(james.echmalian),270,1521
175,excelgeek,269,276
176,fissional,269,263
177,(RadioChuck),268,534
178,mcslane,268,48
179,skybomb0,267,3127
180,dcclyde,267,218
181,karldray,266,172
182,(Bo102010),265,538
183,mdean,265,1
184,(nandor),263,3151
185,(enotpolaskun),262,1108
186,ecowarrior,262,601
187,fergemann,261,759
188,mvaneerde,261,700
189,xZork,261,535
190,bjm2144,261,71
191,eigenscalar,260,1307
192,JeffreyBosboom,260,1036
193,xantoscguin,260,383
194,howzat2,260,239
195,brownkenny,260,59
196,gman007,260,21
