|------+------------------------------------------+---------|
|  id  | subject                                  | solved  |
|------+------------------------------------------+---------|
|  67  | Maximum path sum II                      | 81259   |
|  52  | Permuted multiples                       | 54457   |
|  53  | Combinatoric selections                  | 49095   |
|  56  | Powerful digit sum                       | 48397   |
|  55  | Lychrel numbers                          | 44660   |
|  97  | Large non-Mersenne prime                 | 37111   |
|  63  | Powerful digit counts                    | 35557   |
|  79  | Passcode derivation                      | 35234   |
|  92  | Square digit chains                      | 34888   |
|  59  | XOR decryption                           | 34451   |
|  57  | Square root convergents                  | 34003   |
|  58  | Spiral primes                            | 32920   |
|  54  | Poker hands                              | 29008   |
|  81  | Path sum: two ways                       | 28594   |
|  69  | Totient maximum                          | 28048   |
|  51  | Prime digit replacements                 | 27014   |
|  62  | Cubic permutations                       | 25409   |
|  99  | Largest exponential                      | 25234   |
|  65  | Convergents of e                         | 24603   |
|  71  | Ordered fractions                        | 23755   |
|  76  | Counting summations                      | 23407   |
|  74  | Digit factorial chains                   | 21802   |
|  60  | Prime pair sets                          | 21176   |
|  73  | Counting fractions in a range            | 20640   |
|  61  | Cyclical figurate numbers                | 20589   |
|  85  | Counting rectangles                      | 20316   |
|  70  | Totient permutation                      | 18153   |
|  72  | Counting fractions                       | 18146   |
|  64  | Odd period square roots                  | 17894   |
|  89  | Roman numerals                           | 17782   |
|  82  | Path sum: three ways                     | 17366   |
|  87  | Prime power triples                      | 17008   |
|  68  | Magic 5-gon ring                         | 16824   |
|  80  | Square root digital expansion            | 16217   |
|  66  | Diophantine equation                     | 15906   |
|  77  | Prime summations                         | 15432   |
|  83  | Path sum: four ways                      | 14850   |
|  75  | Singular integer right triangles         | 14498   |
|  96  | Su Doku                                  | 13754   |
|  78  | Coin partitions                          | 13580   |
|  100 | Arranged probability                     | 13050   |
|  91  | Right triangles with integer coordinates | 12540   |
|  95  | Amicable chains                          | 11429   |
|  86  | Cuboid route                             | 10236   |
|  84  | Monopoly odds                            | 10115   |
|  94  | Almost equilateral triangles             | 9800    |
|  93  | Arithmetic expressions                   | 9381    |
|  98  | Anagramic squares                        | 9041    |
|  90  | Cube digit pairs                         | 8902    |
|  88  | Product-sum numbers                      | 7925    |
|------+------------------------------------------+---------|
