|-------+------------------+--------+---------|
|  rank | name             | solved | recent  |
|-------+------------------+--------+---------|
|  104  | (wangh98)        | 205    | 0       |
|  107  | fjzzq2002        | 203    | 0       |
|  179  | abcwuhang        | 157    | 0       |
|  32   | czp              | 318    | 0       |
|  369  | s251258132       | 109    | 0       |
|  397  | (sel-fish)       | 105    | 0       |
|  43   | redhill42        | 302    | 0       |
|  185  | (wzx961008)      | 156    | 1       |
|  24   | wwwwodddd        | 380    | 1       |
|  61   | Tangent          | 252    | 1       |
|  8    | LatticeGuy       | 521    | 1       |
|  82   | wcysai           | 216    | 2       |
|  201  | clearlove        | 153    | 3       |
|  164  | tz397            | 162    | 4       |
|  1=   | skyivben         | 600+   | 4       |
|  436  | (289728525)      | 101    | 5       |
|  225  | xyz111           | 143    | 6       |
|  11   | bukebuer         | 495    | 7       |
|  205  | (dataisland)     | 152    | 7       |
|  453  | D_Tesla          | 100    | 7       |
|  7    | eagles           | 527    | 7       |
|  135  | Dezhonger        | 177    | 8       |
|  154  | JTJL             | 169    | 8       |
|  80   | lugionline       | 221    | 8       |
|  117  | neutrino21       | 192    | 9       |
|  47   | quailty          | 291    | 9       |
|  13   | Shawnmaza        | 440    | 10      |
|  1=   | Jrdevil          | 600+   | 10      |
|  1=   | roosephu         | 600+   | 10      |
|  22   | mathcraft        | 386    | 10      |
|  511  | doc420836131     | 89     | 10      |
|  140  | flxj             | 175    | 11      |
|  15   | vxv              | 434    | 11      |
|  16   | liuguangxi       | 434    | 11      |
|  1=   | baihacker        | 600+   | 11      |
|  1=   | lizhusong922     | 600+   | 11      |
|  27   | sevenkplus       | 361    | 11      |
|  46   | LzyRapx          | 294    | 11      |
|  68   | vapor            | 237    | 11      |
|  36   | vici             | 311    | 14      |
|  493  | mytbk            | 91     | 14      |
|  576  | OhHaHaHa         | 83     | 17      |
|  142  | fancitron        | 174    | 18      |
|  316  | 1400011786       | 120    | 18      |
|  335  | (shenlei)        | 115    | 18      |
|  151  | NiroBC           | 170    | 28      |
|  77   | strong49         | 226    | 28      |
|  25   | aaahhh           | 364    | 29      |
|  407  | wftao1995        | 104    | 30      |
|  161  | qlf2007          | 164    | 31      |
|  331  | zball            | 116    | 31      |
|  1=   | (whatsup)        | 600+   | 33      |
|  175  | (kiiiiii)        | 159    | 41      |
|  246  | jsxylzh          | 136    | 41      |
|  288  | Miku_chousuki    | 126    | 43      |
|  99   | luotuoqingshan   | 207    | 44      |
|  52   | MATH_WangXU      | 268    | 48      |
|  150  | Fazheng          | 171    | 49      |
|  229  | wangch           | 141    | 50      |
|  334  | zechac           | 115    | 51      |
|  575  | southpacific     | 83     | 54      |
|  58   | czgj1999         | 255    | 55      |
|  19   | driversetc       | 399    | 56      |
