rank,id,solved,last_solved
1=,id_46366_,600+,uwi last solved a problem 11 days ago
1=,id_115989_,600+,utomaya last solved a problem 11 days ago
1=,id_88001_,600+,inamori last solved a problem 11 days ago
1=,id_434751_,600+,Min_25 last solved a problem 11 days ago
5,id_814079_,544,haruya last solved a problem 2 days ago
6,id_825953_,504,ax8529221 last solved a problem 7 days ago
7,id_143828_,486,triceps last solved a problem 1138 days ago
8,id_36274_,483,xsd last solved a problem 66 days ago
9,id_160000_,473,jun0 last solved a problem 1319 days ago
10,id_98631_,439,chaemon last solved a problem 690 days ago
11,id_900353_,422,rokusuke last solved a problem 2 days ago
12,id_286268_,419,ariom44 last solved a problem 15 days ago
13,id_250976_,412,jujaji last solved a problem 469 days ago
14,id_106411_,404,rng_58 last solved a problem 1768 days ago
15,id_380249_,399,maikaze last solved a problem 9 days ago
16,id_983952_,392,hidesugar last solved a problem 11 days ago
17,id_360464_,391,__math last solved a problem 467 days ago
18,id_382717_,384,maspuyo last solved a problem 404 days ago
19,id_368127_,383,Takai last solved a problem 2157 days ago
20,id_28646_,383,tsuchiya.yoshihiro last solved a problem 404 days ago
21,id_141217_,382,touma last solved a problem 6 days ago
22,id_63662_,378,niino last solved a problem 1615 days ago
23,id_37582_,378,kozima last solved a problem 206 days ago
24,id_648345_,367,manman last solved a problem 133 days ago
25,id_82344_,360,Kawazoe last solved a problem 1852 days ago
26,id_55571_,357,jeneshicc last solved a problem 1155 days ago
27,id_75070_,344,sarasouju last solved a problem 356 days ago
28,id_28875_,333,hakase last solved a problem 2228 days ago
29,id_154985_,328,herumi last solved a problem 1668 days ago
30,id_830744_,323,lycaste last solved a problem 2 days ago
31,id_176448_,319,natsugiri last solved a problem 256 days ago
32,id_27983_,318,mame last solved a problem 2492 days ago
33,id_889827_,316,(garnacha) last solved a problem 39 days ago
34,id_129922_,310,tokoharu last solved a problem 459 days ago
35,id_716532_,304,SANSEN last solved a problem 49 days ago
36,id_812471_,303,(Lenqth) last solved a problem 125 days ago
37,id_970197_,303,(TatsuDX) last solved a problem 5 days ago
38,id_85405_,299,kyusuke last solved a problem 1806 days ago
39,id_50836_,299,naoya_t last solved a problem 850 days ago
40,id_103958_,296,pp6pk last solved a problem 107 days ago
41,id_595110_,295,imgry22 last solved a problem 1 day ago
42,id_154581_,288,stqn last solved a problem 1152 days ago
43,id_137807_,283,koji_t last solved a problem 864 days ago
44,id_26001_,281,kaoru last solved a problem 2838 days ago
