rank,name,solved,recent
547,(mb01),81,0
41,imgry22,295,1
11,rokusuke,422,2
30,lycaste,323,2
5,haruya,544,2
435,expajp,92,3
518,como314,84,3
37,(TatsuDX),303,5
21,touma,382,6
101,hariharsha,188,7
485,tknob3,87,7
6,ax8529221,504,7
15,maikaze,399,9
16,hidesugar,392,11
1=,inamori,600+,11
1=,Min_25,600+,11
1=,utomaya,600+,11
1=,uwi,600+,11
12,ariom44,419,15
142,yudedako,162,15
348,nishinojunji,104,15
65,yamaguch,245,19
147,deltacat,157,20
81,fksw,218,22
314,rydia001,110,23
164,noriok,151,25
89,square1001,204,25
253,kazushi,125,26
403,huwakun,96,26
88,chromia,205,26
151,altnelico1,156,27
333,ryo.i,106,29
57,aitdccd,258,29
434,Konno_Ryo,92,32
194,oteru50,141,34
224,t5tmy,131,36
506,moratori,85,38
114,kentaro.wakai,178,39
33,(garnacha),316,39
95,hirose,192,39
304,osushi,112,48
35,SANSEN,304,49
73,takamura,223,52
86,ryomiya,211,52
155,zawisha,154,54
161,todo,152,55
125,gomis,169,56
298,noppo,113,59
297,(root16),113,61
484,sweetberry,87,62
426,Szigeta,93,63
8,xsd,483,66
80,OKUDA_Yoshifumi,218,67
159,hidetakak2,153,70
433,(ref4d),92,73
420,mena_nann,94,86
466,cpi_abu,88,87
267,bQKuAy26,120,92
202,jyokun,139,93
137,Pachicobue,165,97
559,casquette34,80,99
411,dshiota,95,100
93,simorin,198,103
40,pp6pk,296,107
228,pekempey,130,108
259,nagaoka,123,112
525,ignorabimus,83,119
47,yasuyuki_abe,275,122
36,(Lenqth),303,125
117,syasuda,177,126
24,manman,367,133
539,kerlon,82,139
387,(asattely),100,140
85,reirei_As,212,141
357,namakemono,103,142
48,sO3SrLCr4Rqb00Zr4nIYCVBPZ_oFimST,271,142
432,napaa,92,144
179,TakahisaC7,146,149
584,kichi941,78,151
55,my316g,261,155
107,from-nuis,183,159
419,kono,94,160
418,kawasaki,94,163
141,Okamitsu,162,172
178,akipom,146,176
369,snuf_kin,101,178
524,sagerin,83,182
356,hellowd,103,184
395,dryaemon,98,186
442,Lycoris_i,91,194
223,todaemon,131,202
23,kozima,378,206
174,clotz.sugar,148,220
127,Ark__,168,226
538,hamukichi,82,228
249,haseguwa,126,230
318,ryochan,109,233
410,narita,95,233
494,mk3ura,86,235
292,hogeover30,114,238
245,kosakkun,127,240
517,(tomiono),84,244
392,maeshiro,99,246
143,kurikuri999,160,255
31,natsugiri,319,256
186,Yuichiroh,145,260
45,nu4nu,281,260
219,y.nishida,132,263
558,Tomonacci,80,267
557,(thelettera),80,268
252,(ProjectSeagull),125,280
150,mei_narou,156,289
331,njellyfish,107,293
140,suj2to,163,296
386,schwarznecken,100,297
237,TangentDay,128,300
347,stmasa2016,104,304
459,kodama417,89,311
284,TetsuyaIzu,116,313
362,joll,102,314
87,miyano,209,316
189,xyz600,144,318
257,aquazul,124,321
83,isomura,217,325
244,(taijin0721),127,344
505,mtsuyugu,85,349
27,sarasouju,344,356
394,xy_nak_jl,98,356
583,tkkyn,78,359
266,AtsushiNagaoka,120,360
465,tanutarou,88,368
129,sakky711,167,375
236,hide8,128,376
483,ydash,87,376
122,carpenter_bee,172,377
116,tar0t,177,383
276,rabbit_TR,118,396
18,maspuyo,384,404
20,tsuchiya.yoshihiro,383,404
330,tjake,107,404
493,keizo2,86,404
582,001229,78,408
54,walkover,261,415
169,fooractal,150,416
570,specular,79,419
482,outerinside,87,420
458,coricozizi,89,421
199,kyomei,140,430
346,jame_sparker,104,432
79,LayCurse,220,438
504,ability_potion,85,449
355,UmeyaMann,103,450
385,yama,100,456
218,tomori_nyao,132,459
34,tokoharu,310,459
106,nekosenyo,183,462
17,__math,391,467
13,jujaji,412,469
313,plonk,110,469
251,komkom3141,125,479
409,mayoko,95,483
516,Suichi,84,485
291,Toyoashihara,114,486
283,Koshin,116,493
329,mirac,107,494
425,hogehoge,93,495
163,arkhe,151,496
417,onigiri11235,94,496
136,peria,165,498
312,yuizumi,110,500
398,suppy193,97,502
581,hyusuk,78,508
569,tsukagashira,79,516
537,suihan,82,521
201,Keno42,139,522
250,yabuki,125,526
431,asi1024,92,527
243,hiromi_ayase,127,539
580,(Koizumi_Kyoko),78,541
75,(NORI_2),222,546
77,Chates0705,221,551
368,keiji-mu,101,555
402,yuzupom,96,557
173,kinjo.yukari,148,567
556,aihara_enju,80,567
64,tomerun,245,572
135,moon_watcher,165,575
217,Koi,132,575
160,makkin-2,152,578
354,d_nishiyama,103,588
481,angel-p57,87,588
120,kobayashikorio,175,589
441,intestine,91,593
119,(takayuki.ohata),176,594
76,m-riho,221,594
424,lotz,93,596
480,uhouho_gorilla,87,600
479,omochi,87,601
546,tatt61880,81,602
98,kerike,191,623
449,_koji,90,635
478,yinamori,87,636
477,belltailjp,87,637
185,srd7,145,647
401,norisuke,96,663
109,ludimma,180,664
457,NAKAJIMA_Junichi,89,664
492,unnamed1030,86,667
90,Naoki_M,202,681
423,E869120,93,682
10,chaemon,439,690
235,hadrori,128,696
536,nishima,82,701
184,kei10in,145,718
208,(zeppeki),136,722
146,takonoashi,157,727
491,BLUEPIXY,86,745
183,maehrm,145,754
515,mameo86,84,756
234,hnw,128,764
464,reduls,88,807
456,pit_viper,89,829
68,ebiel,228,837
535,zawawahoge,82,842
124,faryad,169,844
455,tomoki,89,845
39,naoya_t,299,850
43,koji_t,283,864
317,saki,109,866
91,tk2,200,878
514,cof,84,901
172,itchyny,148,907
408,catindog,95,907
198,lynx,140,918
78,konoyono_subetega_nikui,220,922
261,AMIO,122,929
422,vineyoshi,93,930
66,sinapusu2002,236,937
353,gnatpj0614,103,939
384,Zauberer,100,957
256,fvbb431,124,961
188,kimit,144,962
58,ecottea,257,972
215,61mg,133,976
476,roiti46,87,980
97,nomeaning,191,983
248,xy_nak_hs,126,986
182,leafmoon,145,995
338,piyoko_212,105,1011
104,JeromeLefebvre,184,1012
503,pepepyon,85,1015
207,yasmat,136,1035
46,ko12345,280,1042
321,okaduki,108,1053
463,onuma,88,1056
475,hatoo,87,1059
205,gifnksm,137,1064
118,akira.08280,176,1069
474,binbo-himanasi,87,1087
53,Mi_Sawa,264,1090
242,z_kro,127,1092
171,(pute293),148,1095
600,hebiyan,77,1102
361,takaiy,102,1112
490,hirotakaohkubo1,86,1115
303,miki16g,112,1117
128,Kurayu,167,1123
7,triceps,486,1138
383,okanonet,100,1141
579,dolpen,78,1147
42,stqn,288,1152
440,ichyo,91,1152
26,jeneshicc,357,1155
126,Masaki,168,1158
568,manicmaniac,79,1158
108,shinichi,181,1165
567,rutas123,79,1168
113,KenjiH,178,1170
265,caesark,120,1179
555,TsudaKageyu,80,1183
599,snowfall,77,1198
578,mk1988,78,1201
598,shimisho,77,1201
132,kikai,166,1203
345,Suzaku,104,1205
534,tatsy,82,1208
241,choyotaura,127,1211
69,funnything,225,1216
328,matsulib,107,1222
263,fujiwara,121,1223
327,wotsushi,107,1224
275,x2357,118,1229
344,Susisu,104,1233
227,wataken44,130,1241
168,nisshy,150,1242
554,aomoriringo,80,1248
566,aomoriringocpp,79,1250
62,ush,247,1253
332,pora_myodra,106,1261
502,erunaven,85,1270
462,abeken713,88,1272
513,mthrok,84,1284
111,ogiekako,179,1286
316,mcU3bWAV,109,1286
320,kazutanaka,108,1287
96,nagihito,191,1289
274,nishi6,118,1291
191,(mikeCAT),143,1294
200,penetole,139,1296
545,OKEI,81,1300
9,jun0,473,1319
400,tanzaku,96,1320
577,evima,78,1320
597,orobas,77,1323
454,seikichi,89,1327
533,selios,82,1329
287,szxnkl,115,1331
203,tarumi,138,1335
553,blue0620,80,1347
596,ud0n,77,1347
311,msylw,110,1355
453,gfaogr123,89,1360
226,Kouichi_Nakagawa,130,1367
319,yamatchan,108,1368
576,Christie,78,1381
382,(rhyean8),100,1384
181,tounai,145,1386
247,osa_k,126,1386
131,yamato,166,1389
532,kijitoragoro,82,1392
381,mikami,100,1396
214,norio,133,1399
231,ksato,129,1401
50,cddddr,269,1401
63,homuler,245,1404
282,maesiro,116,1405
473,nobu,87,1416
145,trinitrotoluene,157,1417
452,hjk,89,1417
595,siun,77,1423
175,kyunkyun,147,1488
121,askaky,173,1497
230,DENAM,129,1503
512,jahshaka,84,1505
391,yskcon,99,1507
310,tosan1984,110,1509
552,occho,80,1513
360,soukana,102,1521
296,ktaobo,113,1522
390,seto,99,1535
295,IMOKURI,113,1541
416,muupan,94,1541
281,ttu_hs,116,1546
309,gtom,110,1556
531,hurou,82,1570
430,kajibo,92,1572
308,aki_rubix,110,1577
530,kengpong,82,1582
565,(lrmystp),79,1589
439,killy971,91,1594
544,mystery,81,1598
180,mune.k,145,1604
594,e-cube,77,1605
564,Soeno,79,1607
593,Bell,77,1608
22,niino,378,1615
144,2ndmk2,158,1650
415,na2hiro,94,1650
286,kinketu,115,1656
429,_iota,92,1662
29,herumi,328,1668
367,sys979,101,1675
177,magickmaster,146,1682
49,tak,270,1687
343,skobayas,104,1688
273,tasusu,118,1703
170,masaaki,148,1708
543,(XaroCydeykn),81,1713
342,fluffyowl,104,1718
551,ALuneedis,80,1727
222,machy,131,1752
110,yumichi,179,1762
451,Brenhilt,89,1762
103,asaq,186,1764
337,naoki.kp,105,1767
407,hs484,95,1767
14,rng_58,404,1768
240,mugenen,127,1768
380,hotpepsi,100,1771
326,yowa,107,1776
523,hagure_beans,83,1795
359,kogecoo,102,1799
448,merom686,90,1799
501,xarsh,85,1801
38,kyusuke,299,1806
213,take4310,133,1816
307,hata,110,1823
272,yoshimoto,118,1830
270,tnoda,119,1850
25,Kawazoe,360,1852
379,battamon,100,1852
279,kroton,117,1856
366,213R,101,1866
378,matsuta,100,1870
563,tkych,79,1870
421,tomicchie,93,1873
154,peanutsjamjam,154,1879
115,cojna,177,1884
592,utenmiki,77,1900
139,uti2013,163,1922
511,Akeru,84,1922
325,qfa,107,1923
447,phyllo,90,1929
389,solitary7bd,99,1933
51,steelydon,265,1940
591,fumono,77,1961
153,taiji,155,1968
575,kouhei.e,78,1982
510,tsurushuu,84,1983
102,taku0344028,186,1987
211,okazaki,134,1989
152,yatt,155,1990
94,shaoling,193,1992
162,katsu33,151,1993
529,HOYOHOYO000,82,1998
590,ya_nanba,77,2012
489,nmas,86,2019
488,siawasesun,86,2033
278,kinoh,117,2035
528,kazuya030,82,2054
562,yone64,79,2062
193,(NokubiTadaharu),142,2063
550,nanikaka,80,2064
134,reipan,165,2069
509,t-matsubara,84,2071
341,lispest,104,2076
52,airobo,264,2076
149,(utmath),156,2082
258,mamekin,123,2084
277,qrrakakh,117,2097
500,YoshikiIto,85,2103
204,riktor,137,2106
206,alpicola,136,2106
