|-------+-------------------------+--------+---------|
|  rank | name                    | solved | recent  |
|-------+-------------------------+--------+---------|
|  140  | (kinetc)                | 91     | 0       |
|  38   | alexum                  | 179    | 0       |
|  44   | cfranck                 | 167    | 0       |
|  298  | nomadlife               | 63     | 1       |
|  5    | allenjeon               | 321    | 1       |
|  125  | (dalgu)                 | 100    | 5       |
|  130  | helicity                | 97     | 5       |
|  1    | (jaehyunp)              | 583    | 7       |
|  565  | nablon                  | 34     | 7       |
|  644  | kwangrim.ahn            | 29     | 7       |
|  729  | rubymix                 | 25     | 10      |
|  245  | dreamsboat              | 69     | 11      |
|  12   | muse                    | 240    | 12      |
|  445  | toolofthought           | 46     | 13      |
|  88   | daegeon                 | 122    | 14      |
|  348  | mohenjo                 | 56     | 19      |
|  40   | skim0119                | 177    | 21      |
|  634  | mortarkombat            | 30     | 21      |
|  458  | iljimae                 | 45     | 23      |
|  256  | jihunroh-python         | 68     | 30      |
|  76   | Sait2000                | 130    | 32      |
|  4    | shinminseon             | 330    | 35      |
|  124  | (kparkeuler)            | 100    | 42      |
|  267  | (ikisis)                | 67     | 48      |
|  361  | (yyc9268)               | 54     | 48      |
|  397  | Yearning                | 51     | 48      |
|  642  | (AladeenIII)            | 29     | 50      |
|  643  | adex1248                | 29     | 50      |
|  219  | delfino4                | 72     | 58      |
|  471  | hum369                  | 43     | 59      |
|  48   | jh05013                 | 162    | 65      |
|  728  | (a41798175)             | 25     | 68      |
|  6    | sungmin817              | 311    | 73      |
|  93   | J.H.M.                  | 117    | 77      |
|  437  | (eudemonicjh)           | 47     | 82      |
|  436  | Pekaz                   | 47     | 89      |
|  504  | (ludi685)               | 39     | 92      |
|  503  | moon020416              | 39     | 101     |
|  727  | wipkis                  | 25     | 102     |
|  35   | bumsook                 | 186    | 103     |
|  726  | baru                    | 25     | 106     |
|  8    | emppu                   | 262    | 106     |
|  193  | birmjin.in              | 77     | 117     |
|  354  | (raifthenerd)           | 55     | 117     |
|  515  | jongyoonl               | 38     | 119     |
|  244  | wandookong              | 69     | 123     |
|  297  | jacealan                | 63     | 125     |
|  457  | ohwi                    | 45     | 125     |
|  592  | (pakcw0)                | 32     | 127     |
|  659  | starwatcherkiwi         | 28     | 131     |
|  373  | 16spark1                | 53     | 132     |
|  85   | dareun.geum             | 124    | 142     |
|  243  | rmsrk33                 | 69     | 146     |
|  493  | narsis_07               | 40     | 148     |
|  413  | (ssu2016rex)            | 50     | 149     |
|  701  | myshlee417              | 26     | 152     |
|  32   | svchost.exe             | 193    | 155     |
|  430  | (gomcheol)              | 48     | 160     |
|  36   | veshboo                 | 184    | 162     |
|  133  | friend1226              | 96     | 164     |
|  312  | hiparkgss               | 61     | 165     |
|  725  | windows                 | 25     | 165     |
|  633  | SilverCube              | 30     | 166     |
|  96   | kyduke                  | 114    | 169     |
|  147  | nineclue                | 88     | 171     |
|  700  | nmsheeboy007            | 26     | 172     |
|  658  | kurishin                | 28     | 176     |
|  161  | key262yek               | 85     | 180     |
|  21   | zlzmsrhak               | 209    | 185     |
|  283  | deity                   | 65     | 193     |
|  347  | qwe6580                 | 56     | 197     |
|  208  | (gs13057)               | 74     | 198     |
|  282  | nonblock                | 65     | 203     |
|  537  | ent25d27                | 36     | 205     |
|  564  | pmon2648                | 34     | 211     |
|  724  | dyxogus                 | 25     | 213     |
|  289  | sherhy                  | 64     | 219     |
|  615  | megi3dec                | 31     | 222     |
|  327  | zephyr9                 | 59     | 228     |
|  95   | (Byungwoo.Jeon)         | 116    | 230     |
|  632  | greengaguri             | 30     | 232     |
|  108  | hongsch1                | 107    | 237     |
|  288  | eltmzhsj                | 64     | 239     |
|  396  | freewild                | 51     | 251     |
|  421  | keiasz                  | 49     | 251     |
|  203  | YunGoon                 | 75     | 257     |
|  60   | hillcanon               | 149    | 261     |
|  56   | Frizzle                 | 157    | 262     |
|  228  | aeromind                | 71     | 263     |
|  614  | altria0528              | 31     | 275     |
|  55   | zhuny                   | 157    | 277     |
|  129  | younghan                | 97     | 279     |
|  119  | whitehwarang            | 102    | 282     |
|  360  | bits_and_scraps         | 54     | 284     |
|  412  | wishsky02               | 50     | 286     |
|  18   | Doju                    | 220    | 288     |
|  502  | (aj.haru.kim)           | 39     | 289     |
|  27   | changrak                | 201    | 293     |
|  699  | kurukaka                | 26     | 296     |
|  112  | ntalbs                  | 106    | 299     |
|  467  | kimdaye                 | 44     | 301     |
|  15   | Bubbler                 | 232    | 305     |
|  613  | yous                    | 31     | 310     |
