|-------+---------------------+--------+---------|
|  rank | name                | solved | recent  |
|-------+---------------------+--------+---------|
|  136  | philiplu            | 296    | 0       |
|  318  | Zkid                | 222    | 0       |
|  40   | moovybuf            | 422    | 0       |
|  410  | Alex52              | 205    | 0       |
|  490  | piguy314159         | 192    | 0       |
|  52   | universalset        | 396    | 0       |
|  543  | BH4                 | 184    | 0       |
|  557  | (michael.s.emanuel) | 183    | 0       |
|  585  | ct075               | 179    | 0       |
|  689  | dnormand            | 167    | 0       |
|  730  | plevande            | 163    | 0       |
|  863  | HalfwayCrook        | 153    | 0       |
|  963  | duane_bailey        | 147    | 0       |
|  96   | (kavigupta)         | 332    | 0       |
|  115  | fizzix              | 313    | 1       |
|  15   | ubiquitousgrape     | 544    | 1       |
|  200  | (Andy_Dienes)       | 258    | 1       |
|  258  | gerglo              | 239    | 1       |
|  468  | troom               | 196    | 1       |
|  597  | tigrenok            | 177    | 1       |
|  770  | bottesini           | 159    | 1       |
|  80   | (heteroing)         | 355    | 1       |
|  81   | jarip               | 352    | 1       |
|  887  | shersche            | 152    | 1       |
|  20   | (kingvash)          | 503    | 2       |
|  48   | bdolson             | 401    | 2       |
|  542  | dskabelund          | 184    | 2       |
|  565  | noogiedunn          | 181    | 2       |
|  56   | stevefr01           | 382    | 2       |
|  620  | theodoretliu        | 174    | 2       |
|  62   | (jake223)           | 372    | 2       |
|  650  | piepera             | 171    | 2       |
|  69   | (robot-dreams)      | 362    | 2       |
|  738  | africh              | 162    | 2       |
|  17   | (sivakd)            | 522    | 3       |
|  182  | mdean               | 266    | 3       |
|  1=   | al13n               | 600+   | 3       |
|  1=   | (MarcusAndrews)     | 600+   | 3       |
|  245  | mathcounts4         | 243    | 3       |
|  28   | amcalde             | 457    | 3       |
|  39   | 16777216            | 427    | 3       |
|  441  | calypsonic          | 201    | 3       |
|  500  | benhoch13           | 190    | 3       |
|  510  | SageEuler           | 189    | 3       |
|  659  | judygu              | 170    | 3       |
|  748  | janis               | 161    | 3       |
|  935  | cdspitzer           | 149    | 3       |
|  114  | (deansm)            | 315    | 4       |
|  161  | jsshep93            | 276    | 4       |
|  1=   | willhsmit           | 600+   | 4       |
|  285  | (kenbrooker)        | 231    | 4       |
|  371  | wfdoran             | 211    | 4       |
|  47   | tcarr               | 402    | 4       |
|  516  | jfirester           | 188    | 4       |
|  628  | momentomori         | 173    | 4       |
|  107  | LarryBlake          | 326    | 5       |
|  712  | Gimmesumcredit      | 165    | 5       |
|  862  | tkoz                | 153    | 5       |
|  392  | moabird             | 208    | 6       |
|  54   | Anton_Chigurh       | 389    | 6       |
|  627  | irchans             | 173    | 6       |
|  861  | mcj_haskell         | 153    | 6       |
|  10   | ving                | 595    | 7       |
|  184  | bjm2144             | 264    | 7       |
|  531  | alexdor             | 185    | 7       |
|  84   | (dgokman)           | 345    | 7       |
|  102  | (zandrewv)          | 328    | 9       |
|  255  | Morphie             | 240    | 9       |
|  649  | rtdavis22           | 171    | 9       |
|  67   | s.c.koehler         | 365    | 9       |
|  128  | hexadoodle          | 302    | 10      |
|  25   | ecnerwala           | 480    | 10      |
|  639  | eskaug              | 172    | 10      |
|  703  | boneheadmef         | 166    | 10      |
|  761  | (Recondite)         | 160    | 10      |
|  12   | SlavaKabanovich     | 570    | 11      |
|  16   | DerekLedbetter      | 540    | 11      |
|  1=   | cmk                 | 600+   | 11      |
|  1=   | radeye              | 600+   | 11      |
|  1=   | Stache              | 600+   | 11      |
|  1=   | unime               | 600+   | 11      |
|  22   | devjoe              | 489    | 11      |
|  36   | Robert_OConnor      | 438    | 11      |
|  49   | modem               | 399    | 11      |
|  530  | countyguy           | 185    | 11      |
|  73   | (fahrbach)          | 357    | 11      |
|  737  | mfeyg               | 162    | 13      |
|  946  | derekjames          | 148    | 13      |
|  961  | _epistemologist     | 147    | 13      |
|  962  | rgiuli              | 147    | 13      |
|  1=   | beta_projects       | 600+   | 14      |
|  41   | pismobiker          | 420    | 14      |
|  681  | bbejot              | 168    | 14      |
|  848  | gvance              | 154    | 15      |
|  156  | (vbrhjajcn)         | 280    | 17      |
|  30   | silver83p           | 451    | 17      |
|  340  | (nimr0d)            | 218    | 17      |
|  529  | jeffbaumann         | 185    | 18      |
|  106  | jwsiegel            | 326    | 19      |
|  541  | wtrotter            | 184    | 21      |
|  802  | AlanWE_332a5        | 157    | 21      |
|  232  | Nyarpy              | 248    | 22      |
|  70   | lackritz            | 359    | 22      |
|  467  | GNFS                | 196    | 23      |
|  509  | ravdin              | 189    | 23      |
|  391  | Varcho              | 208    | 24      |
|  390  | dawghaus            | 208    | 26      |
|  397  | bruckner            | 207    | 27      |
|  603  | Steppenwolf99       | 176    | 27      |
|  79   | Ryals               | 355    | 27      |
|  142  | jimbo_elephant      | 291    | 28      |
|  440  | xlearsi31           | 201    | 28      |
|  463  | (pgcomp)            | 197    | 28      |
|  477  | normanus            | 195    | 28      |
|  670  | kronion             | 169    | 28      |
|  960  | freakazoid          | 147    | 28      |
|  564  | sroot               | 181    | 29      |
|  152  | wilywampa           | 283    | 30      |
|  93   | mdm                 | 333    | 30      |
|  721  | (paher)             | 164    | 31      |
|  729  | mvkid               | 163    | 31      |
|  196  | gman007             | 260    | 32      |
|  991  | thebnq              | 145    | 32      |
|  109  | anythingapplied     | 321    | 33      |
|  945  | Mmm313              | 148    | 34      |
|  18   | pyrolykos           | 521    | 35      |
|  239  | EclipseEnigma       | 244    | 35      |
|  448  | Snerd               | 200    | 35      |
|  886  | eparlin             | 152    | 35      |
|  576  | arpsmack            | 180    | 36      |
|  78   | Zach-Lurf           | 355    | 36      |
|  33   | (jpaulson)          | 446    | 37      |
|  476  | dbb3                | 195    | 37      |
|  593  | ddgoff              | 178    | 37      |
|  313  | benner4520          | 223    | 39      |
|  990  | ARoss               | 145    | 39      |
|  139  | Schu-ism            | 294    | 40      |
|  357  | raphey              | 214    | 40      |
|  638  | bcc32               | 172    | 40      |
|  244  | eighthcoda          | 243    | 41      |
|  680  | (RugbyRaizel)       | 168    | 41      |
|  811  | misterjay           | 156    | 43      |
|  86   | rammek              | 344    | 43      |
|  217  | jrouse              | 252    | 46      |
|  356  | MathIsAwesome       | 214    | 46      |
|  747  | timkostka           | 161    | 46      |
|  141  | (Quadratic)         | 292    | 47      |
|  271  | alxcoh              | 235    | 47      |
|  457  | blueyoshi321        | 198    | 47      |
|  637  | gwrightnyc          | 172    | 47      |
|  151  | tlesaul2            | 285    | 48      |
|  409  | JackODonohue        | 205    | 49      |
|  908  | buohara             | 151    | 50      |
|  435  | hacatu              | 202    | 51      |
|  860  | dswenson            | 153    | 52      |
|  261  | CBurkhart           | 238    | 53      |
|  489  | schreck             | 192    | 53      |
|  66   | mark                | 367    | 55      |
|  238  | BartSalt            | 244    | 56      |
|  944  | ZelmersZoetrop      | 148    | 56      |
|  150  | Ted                 | 285    | 57      |
|  462  | BobTheGreat         | 197    | 57      |
|  720  | SirMrGuy            | 164    | 57      |
|  540  | JamesRauen          | 184    | 58      |
|  178  | mcslane             | 268    | 60      |
|  260  | (kennethklinger)    | 238    | 60      |
|  556  | (gblais)            | 183    | 62      |
|  339  | jfreiberg           | 218    | 63      |
|  309  | (caelum02)          | 224    | 66      |
|  323  | tgp4                | 221    | 67      |
|  158  | nkbk                | 278    | 68      |
|  424  | Derek_Clegg         | 203    | 68      |
|  14   | mathseal            | 558    | 70      |
|  297  | mccaskey            | 227    | 70      |
|  195  | brownkenny          | 260    | 71      |
|  230  | (CheeseLord)        | 249    | 72      |
|  943  | elendia             | 148    | 72      |
|  101  | (nishanth17)        | 328    | 74      |
|  149  | mcamac              | 286    | 75      |
|  688  | merlinnimue         | 167    | 76      |
|  784  | aspen8131           | 158    | 78      |
|  82   | JohnMorris          | 349    | 78      |
|  934  | Dakfro              | 149    | 78      |
|  364  | (dcoles)            | 212    | 79      |
|  65   | (kelvinator)        | 367    | 79      |
|  977  | Kugnae              | 146    | 80      |
|  434  | nsg                 | 202    | 81      |
|  926  | dazuma              | 150    | 82      |
|  274  | rlipsett            | 234    | 83      |
|  278  | joe.giuliani        | 233    | 83      |
|  32   | Murphy              | 447    | 85      |
|  293  | grahamholmes        | 228    | 86      |
|  317  | chahld              | 222    | 86      |
|  214  | 1011010110110       | 253    | 88      |
|  810  | snydej              | 156    | 88      |
|  336  | yli198              | 219    | 89      |
|  53   | candells            | 390    | 89      |
|  575  | (dgottner)          | 180    | 90      |
|  480  | kirkb               | 194    | 91      |
|  120  | Abe27342            | 309    | 92      |
|  92   | bunderscore         | 334    | 92      |
|  91   | henru_wang          | 334    | 94      |
|  439  | Forehead            | 201    | 96      |
|  58   | dgiaimo             | 379    | 98      |
|  226  | slfotg              | 250    | 99      |
|  216  | mauro7inf           | 252    | 100     |
|  229  | rgao14              | 249    | 103     |
|  669  | SuckItLipkin        | 169    | 104     |
|  155  | CUViper             | 281    | 105     |
|  338  | samnolen            | 218    | 105     |
|  555  | ultrakeet           | 183    | 109     |
|  942  | deanaw              | 148    | 109     |
|  303  | Jacob_Elafandi      | 226    | 110     |
|  833  | roxer94             | 155    | 110     |
|  933  | lpage               | 149    | 110     |
|  257  | billbo2424          | 239    | 111     |
|  687  | (desaic)            | 167    | 111     |
|  221  | rcp2361             | 251    | 114     |
|  418  | ferret30            | 204    | 115     |
|  486  | Dikkemik            | 193    | 115     |
|  335  | jzheller            | 219    | 116     |
|  377  | joelsmith           | 210    | 117     |
|  302  | dcterr              | 226    | 118     |
|  146  | rathmann            | 287    | 119     |
|  170  | kubluck             | 273    | 119     |
|  433  | Eventhorizon        | 202    | 119     |
|  736  | CarbonFerrous       | 162    | 119     |
|  124  | smacke              | 305    | 120     |
|  614  | (jbuysse)           | 175    | 120     |
|  113  | blakeney            | 315    | 121     |
|  668  | Artemish            | 169    | 121     |
|  165  | TickaJules          | 275    | 123     |
|  679  | evanseverson        | 168    | 123     |
|  976  | geekynerd           | 146    | 123     |
|  220  | tguinard            | 251    | 124     |
|  613  | rphenson            | 175    | 126     |
|  63   | grantcarlson        | 368    | 126     |
|  719  | (bednarz0)          | 164    | 126     |
|  277  | lingomaniac88       | 233    | 127     |
|  131  | nwalton125          | 301    | 129     |
|  61   | navghtivs           | 372    | 129     |
|  847  | cjfred              | 154    | 131     |
|  134  | (cjqcjq)            | 297    | 132     |
|  728  | (gh314)             | 163    | 135     |
|  137  | NabiNaga            | 295    | 136     |
|  292  | GoHawks             | 228    | 137     |
|  112  | Thiros              | 317    | 139     |
|  355  | phob                | 214    | 139     |
|  560  | ArrayMaster3000     | 182    | 142     |
|  975  | andrew-i            | 146    | 142     |
|  417  | nasmith99           | 204    | 147     |
|  123  | wakkadojo           | 308    | 151     |
|  289  | makhoma             | 229    | 154     |
|  205  | KenB                | 256    | 155     |
|  19   | aruff               | 513    | 156     |
|  574  | RikSm               | 180    | 156     |
|  907  | nullman             | 151    | 156     |
|  225  | quicksilver         | 250    | 157     |
|  376  | Deathfire-san       | 210    | 157     |
|  702  | mndrake             | 166    | 159     |
|  539  | sligocki            | 184    | 161     |
|  648  | (DavidBurgess1997)  | 171    | 161     |
|  23   | phsr                | 486    | 162     |
|  387  | browni3141          | 209    | 162     |
|  612  | humcalc216          | 175    | 162     |
|  554  | intrepidcoder       | 183    | 163     |
|  1=   | dev_random          | 600+   | 165     |
|  416  | cryptofalker        | 204    | 165     |
|  326  | Rfloyd01            | 220    | 171     |
|  363  | superb_owl          | 212    | 171     |
|  46   | oldpatzer           | 408    | 173     |
|  361  | montyn              | 213    | 177     |
|  619  | adang1345           | 174    | 178     |
|  475  | gjanee              | 195    | 179     |
|  974  | pj6444              | 146    | 179     |
