|---------------------------+-------+----------+--------|
|  country                  | user  | abovelv1 | mean   |
|---------------------------+-------+----------+--------|
|  Afghanistan              | 69    | 17.4%    | 2.7%   |
|  Albania                  | 124   | 30.6%    | 3.5%   |
|  Algeria                  | 195   | 23.6%    | 3.2%   |
|  Andorra                  | 36    | 30.6%    | 3.7%   |
|  Angola                   | 17    | 23.5%    | 2.8%   |
|  Antigua                  | 7     | 0%       | 1.6%   |
|  Argentina                | 1012  | 35.6%    | 4.2%   |
|  Armenia                  | 128   | 23.4%    | 2.8%   |
|  Aruba                    | 5     | 20%      | 2.3%   |
|  Australia                | 3579  | 38.7%    | 4.9%   |
|  Austria                  | 1173  | 39.2%    | 5%     |
|  Azerbaijan               | 127   | 19.7%    | 3.3%   |
|  Bahamas                  | 14    | 35.7%    | 4.1%   |
|  Bahrain                  | 27    | 44.4%    | 5.2%   |
|  Bangladesh               | 1156  | 18.4%    | 2.4%   |
|  Barbados                 | 14    | 21.4%    | 2.7%   |
|  Belarus                  | 602   | 35.7%    | 5.4%   |
|  Belgium                  | 1707  | 40.4%    | 5.4%   |
|  Belize                   | 13    | 30.8%    | 4%     |
|  Benin                    | 11    | 18.2%    | 2.1%   |
|  Bermuda                  | 14    | 42.9%    | 5.6%   |
|  Bhutan                   | 13    | 23.1%    | 4.8%   |
|  Bolivia                  | 112   | 21.4%    | 2.8%   |
|  Bosnia                   | 146   | 26.7%    | 3%     |
|  Botswana                 | 11    | 27.3%    | 3.3%   |
|  Brazil                   | 3718  | 19.5%    | 2.7%   |
|  Brunei                   | 18    | 11.1%    | 2.2%   |
|  Bulgaria                 | 849   | 35.6%    | 4.9%   |
|  Burkina Faso             | 13    | 23.1%    | 2.5%   |
|  Burundi                  | 6     | 0%       | 1.4%   |
|  Cambodia                 | 32    | 15.6%    | 2.3%   |
|  Cameroon                 | 38    | 13.2%    | 2%     |
|  Canada                   | 6839  | 37.7%    | 4.7%   |
|  Cape Verde               | 13    | 38.5%    | 6.7%   |
|  Caribbean Netherlands    | 5     | 20%      | 5.7%   |
|  Cayman Islands           | 7     | 42.9%    | 3.6%   |
|  Central African Republic | 12    | 25%      | 2.9%   |
|  Chad                     | 4     | 0%       | 0.9%   |
|  Chile                    | 420   | 26.4%    | 3.8%   |
|  China                    | 5888  | 40.8%    | 5.5%   |
|  Christmas Island         | 26    | 19.2%    | 2.1%   |
|  Colombia                 | 599   | 19.4%    | 2.7%   |
|  Comoros                  | 5     | 20%      | 3.8%   |
|  Congo                    | 9     | 11.1%    | 1.7%   |
|  Costa Rica               | 99    | 19.2%    | 2.4%   |
|  Croatia                  | 619   | 34.9%    | 5.2%   |
|  Cuba                     | 127   | 28.3%    | 4.2%   |
|  Curacao                  | 5     | 20%      | 2.9%   |
|  Cyprus                   | 106   | 35.8%    | 4.1%   |
|  Czech Republic           | 1264  | 42.2%    | 5.5%   |
|  Denmark                  | 1763  | 37.8%    | 4.8%   |
|  Djibouti                 | 26    | 15.4%    | 2.6%   |
|  Dominica                 | 4     | 25%      | 3.1%   |
|  Dominican Republic       | 281   | 17.4%    | 2.4%   |
|  DPR of Korea             | 49    | 32.7%    | 4.2%   |
|  DR of Congo              | 17    | 29.4%    | 4.6%   |
|  East Timor               | 5     | 0%       | 1.7%   |
