name1sname2,rank,country,score
Min_25s,1st,Japan,241
fagus,2nd,Germany,239
uwis,3rd,Japan,236
fjzzq2002s,4th,China,235
radeyes,5th,USA,228
grechniks,6th,Russia,225
vxvs,7th,China,223
alekseys,8th,Russia,217
x22s,9th,Slovakia,214
baihackers,9th,China,214
Rafbills,11th,France,213
Tepsis,12th,Hungary,209
lizhusong922s,13th,China,186
sergej.samborskijs,14th,Russia,183
sYoni,15th,Israel,182
SlavaKabanovichs,16th,USA,181
fbretons,17th,France,179
VicTheTurtles,18th,France,174
shiina.ringos,18th,,174
liuguangxis,20th,China,164
cmks,21st,USA,162
vapors,21st,China,162
ASPIRINKAs,21st,Belarus,162
cyclopss,21st,,162
LzyRapxs,25th,China,158
snathanael.courant,26th,France,157
abcwuhangs,27th,China,147
WG4ZHZ2P2Qs,27th,,147
utomayas,29th,Japan,146
lionel.ms,30th,France,145
ksun48s,31st,Canada,139
nledouxs,31st,France,139
ariacass,33rd,Russia,138
sDor Shmoish,34th,Israel,132
haruyas,35th,Japan,127
rokusukes,36th,Japan,121
kunyavskiys,37th,Russia,115
Bobbits,38th,England,113
Radewooshs,39th,Poland,108
sevenkpluss,40th,China,106
stoneds,41st,Serbia,99
sgmt,42nd,Italy,93
hidesugars,43rd,Japan,89
ARosss,44th,USA,88
geteros,45th,Russia,86
endagorions,46th,Russia,83
shs.10978s,47th,China,82
sJaehyun Park,47th,South Korea,82
marcoskwkms,49th,Brazil,78
M.Healys,50th,England,77
philiplus,51st,USA,75
sPeter de Rivaz,51st,England,75
sFriedrich Regen,53rd,Germany,74
mdmullins,54th,,73
palayutms,55th,China,72
xyz111s,56th,China,71
sSamo Kralj,57th,Slovenia,68
amagris,58th,France,63
SANSENs,59th,Japan,61
modems,60th,USA,59
absi2011s,61st,,57
mathcrafts,61st,,57
plamenkos,63rd,Croatia,55
sGoat Leaps,63rd,Scotland,55
googlweknoalls,65th,,53
asaf1250s,65th,Israel,53
smikulsks,67th,Poland,52
sAzuki,67th,China,52
mr027s,69th,,50
sgriff,70th,USA,49
lycastes,71st,Japan,48
YMDragons,72nd,China,47
brob26s,72nd,Australia,47
hiroses,74th,Japan,46
Staches,75th,USA,44
Zach-Lurfs,75th,USA,44
calypsonics,75th,USA,44
qwerty787788s,78th,,43
bapt.collets,79th,France,42
sjschnei,80th,Canada,41
quailtys,80th,China,41
roosephus,82nd,China,40
AleksMats,82nd,Slovenia,40
sMurray,82nd,New Zealand,40
asgerixs,82nd,Denmark,40
devjoes,86th,USA,39
gilcu3s,86th,Cuba,39
GuyUpLions,88th,China,38
swm_sxts,88th,China,38
SYurys,90th,Russia,36
wxh010910s,91st,,34
blueyoshi321s,91st,USA,34
sajay_verma,91st,India,34
Lithos,94th,,33
driversetcs,94th,China,33
square1001s,94th,Japan,33
amics,94th,France,33
unimes,98th,USA,32
czps,98th,China,32
sironman353,98th,India,32
mareksoms,98th,Poland,32
sReiner Martin,98th,Germany,32
ruilovs,103rd,Brazil,31
ASHRYNAs,103rd,England,31
ozgur.ozceliks,105th,Turkey,30
djelinskis,105th,Poland,30
gusorjans,107th,Sweden,29
CBurkharts,108th,USA,28
ben_whs,109th,England,27
pranav_aroras,110th,India,26
sDennis Gokman,110th,USA,26
numeriserealitys,112th,Italy,24
DerekLedbetters,113th,USA,23
mattmadis,113th,Australia,23
olwispes,115th,France,21
pushistiks,115th,Belarus,21
aitchs,117th,Sweden,20
dorss,117th,Israel,20
urimends,119th,Israel,19
juris.cs,120th,Latvia,18
Robert_OConnors,121st,USA,17
sMarkus,121st,Germany,17
Nivsirs,123rd,Belgium,16
Guegos,123rd,France,16
kanashiRikkas,123rd,,16
sLaMarcus,126th,China,15
sJoe Roberston,126th,England,15
sMatthew Fahrbach,126th,USA,15
sJerome R.,129th,France,14
Igor.Khrols,129th,Belarus,14
bonsaihawks,131st,Scotland,12
NiakTheWizards,131st,France,12
Lucky92s,133rd,France,11
Steppenwolf99s,133rd,USA,11
kmlaus,133rd,Hong Kong,11
michael_hos,136th,China,10
sGrenache,136th,Japan,10
hexadoodles,138th,USA,9
giabs,138th,France,9
Shawnmazas,140th,China,8
ecnerwalas,140th,USA,8
willhsmits,140th,USA,8
sollestads,140th,,8
dzatss,144th,Russia,7
arnaud.nauwyncks,145th,France,6
CSFGSALs,145th,England,6
MuthuVeerappanRs,145th,India,6
9487s,145th,,6
micangelas,149th,Taiwan,5
gispzjzs,149th,,5
sCarl Edman,149th,Sweden,5
sh_012s,149th,Finland,5
Anton_Chigurhs,149th,USA,5
fakessons,154th,Sweden,4
dnormands,154th,France,4
Revenants,154th,Netherlands,4
mdixs,154th,Australia,4
TheBlackSwans,154th,Italy,4
sSmsS,159th,Iran,3
nomiss,159th,France,3
akcs,159th,Iceland,3
SuprDewds,162nd,Iceland,2
sAryaman Maithani,162nd,India,2
Jowetts,164th,Spain,1
seattle_joergs,164th,Germany,1
lopsidations,164th,USA,1
