|-------+----------------------+--------+---------|
|  rank | name                 | solved | recent  |
|-------+----------------------+--------+---------|
|  1=   | Jrdevil              | 600+   | 5       |
|  1=   | baihacker            | 600+   | 4       |
|  1=   | lizhusong922         | 600+   | 4       |
|  1=   | skyivben             | 600+   | 2       |
|  1=   | roosephu             | 600+   | 2       |
|  1=   | (whatsup)            | 600+   | 68      |
|  7    | eagles               | 532    | 0       |
|  8    | LatticeGuy           | 525    | 4       |
|  9    | cheng.di             | 520    | 368     |
|  10   | taizhou              | 510    | 93      |
|  11   | bukebuer             | 501    | 0       |
|  12   | (lld2006)            | 446    | 504     |
|  13   | Shawnmaza            | 445    | 0       |
|  14   | liuguangxi           | 438    | 5       |
|  15   | vxv                  | 438    | 5       |
|  16   | tec                  | 436    | 163     |
|  17   | dhu_try              | 420    | 1764    |
|  18   | GaoZone              | 408    | 158     |
|  19   | shs.10978            | 404    | 0       |
|  20   | driversetc           | 401    | 18      |
|  21   | ZhouYuChen           | 387    | 614     |
|  22   | Jackalope            | 386    | 2088    |
|  23   | fox0571              | 384    | 2187    |
|  24   | wwwwodddd            | 382    | 29      |
|  25   | aaahhh               | 364    | 64      |
|  26   | sevenkplus           | 364    | 18      |
|  27   | chzhou               | 361    | 379     |
|  28   | (Slipper)            | 353    | 1342    |
|  29   | redhill42            | 345    | 1       |
|  30   | ljq                  | 339    | 1960    |
|  31   | ftiasch              | 333    | 162     |
|  32   | goalboy              | 325    | 2169    |
|  33   | czp                  | 321    | 10      |
|  34   | int                  | 315    | 132     |
|  35   | mpanlei              | 315    | 100     |
|  36   | zhzs                 | 312    | 2812    |
|  37   | vici                 | 311    | 49      |
|  38   | waiwaipig            | 307    | 2039    |
|  39   | eming                | 306    | 2855    |
|  40   | taolei               | 306    | 1027    |
|  41   | asmn                 | 305    | 1409    |
|  42   | esun-w               | 303    | 255     |
|  43   | xtlisk               | 302    | 1395    |
|  44   | scturtle             | 301    | 1246    |
|  45   | HKX                  | 300    | 1877    |
|  46   | LzyRapx              | 300    | 0       |
|  47   | quailty              | 292    | 31      |
|  48   | Tangent              | 291    | 0       |
|  49   | coolwanglu           | 285    | 2262    |
|  50   | misaka20001          | 282    | 98      |
|  51   | lrzh                 | 278    | 304     |
|  52   | l2y3n2               | 270    | 1241    |
|  53   | MATH_WangXU          | 268    | 83      |
|  54   | ben1222              | 267    | 2454    |
|  55   | 3140101958           | 265    | 193     |
|  56   | jackchess            | 259    | 122     |
|  57   | Weifeng_Sun          | 258    | 282     |
|  58   | lidan615             | 258    | 0       |
|  59   | superdesert          | 257    | 1418    |
|  60   | czgj1999             | 255    | 90      |
|  61   | Rinick               | 254    | 3231    |
|  62   | falseskywalker       | 251    | 3343    |
|  63   | xiaoyukina           | 251    | 2103    |
|  64   | luyunlong            | 247    | 212     |
|  65   | zscc                 | 246    | 129     |
|  66   | vapor                | 246    | 3       |
|  67   | strong49             | 243    | 0       |
|  68   | greedp               | 242    | 1603    |
|  69   | Ekoms_The_Insane     | 241    | 2332    |
|  70   | stir67               | 236    | 2452    |
|  71   | sharpeye             | 236    | 239     |
|  72   | wuyingddg            | 236    | 158     |
|  73   | chyx                 | 234    | 2082    |
|  74   | (zbanach)            | 234    | 367     |
|  75   | BigGuava             | 233    | 3203    |
|  76   | Ledrug               | 231    | 2602    |
|  77   | wcysai               | 230    | 0       |
|  78   | andor9               | 226    | 393     |
|  79   | zouxun               | 225    | 2518    |
|  80   | tifa                 | 225    | 698     |
|  81   | lugionline           | 221    | 44      |
|  82   | yangxinyu            | 219    | 225     |
|  83   | jasonzd              | 214    | 1152    |
|  84   | qu317058542          | 214    | 399     |
|  85   | Sd.Invol             | 214    | 327     |
|  86   | lllllllllllll        | 213    | 1649    |
|  87   | (wangh98)            | 213    | 9       |
|  88   | alephalpha           | 212    | 1034    |
|  89   | Alec_tk              | 212    | 213     |
|  90   | xymeng               | 211    | 480     |
|  91   | idiot94              | 210    | 3605    |
|  92   | MATLABMATH           | 210    | 3602    |
|  93   | hupo001              | 209    | 3421    |
|  94   | mathyrl              | 209    | 961     |
|  95   | bigeast              | 209    | 113     |
|  96   | llhuii               | 208    | 1745    |
|  97   | xbtianlang           | 208    | 1658    |
|  98   | purelisp             | 207    | 2895    |
|  99   | foreverbell          | 207    | 599     |
|  100  | luotuoqingshan       | 207    | 79      |
|  101  | fjzzq2002            | 207    | 1       |
|  102  | physhark             | 206    | 1864    |
|  103  | lyensolarism         | 206    | 139     |
|  104  | Yishun               | 205    | 338     |
|  105  | grf1973              | 205    | 171     |
|  106  | llq17501             | 204    | 1177    |
|  107  | lunjgr               | 204    | 440     |
|  108  | staynight            | 202    | 1345    |
|  109  | yshui                | 202    | 1023    |
|  110  | SkyShaw              | 201    | 2296    |
|  111  | wanbo                | 201    | 1236    |
|  112  | zhymaoiing           | 201    | 522     |
|  113  | cgy4ever             | 199    | 894     |
|  114  | redfield             | 195    | 3188    |
|  115  | kennethsnow          | 195    | 244     |
|  116  | YiCyunSaBi           | 194    | 693     |
|  117  | neutrino21           | 192    | 45      |
|  118  | rujialiu             | 191    | 1653    |
|  119  | ftfish               | 189    | 13      |
|  120  | natsukage            | 189    | 5       |
|  121  | cuiaoxiang           | 188    | 510     |
|  122  | lyyshp               | 187    | 115     |
|  123  | taoyijie             | 186    | 327     |
|  124  | abcwuhang            | 186    | 0       |
|  125  | ctzsm                | 185    | 732     |
|  126  | sha1                 | 184    | 2554    |
|  127  | kaifeng              | 184    | 1905    |
|  128  | bbsdkjdx             | 183    | 557     |
|  129  | northwolves          | 182    | 602     |
|  130  | seaker               | 181    | 3024    |
|  131  | lby1990              | 181    | 2277    |
|  132  | lijiaqigreat         | 181    | 309     |
|  133  | xiaoshua             | 180    | 685     |
|  134  | S3_N                 | 179    | 670     |
|  135  | yuezheng             | 177    | 461     |
|  136  | (lyp2015)            | 177    | 245     |
|  137  | Dezhonger            | 177    | 44      |
|  138  | wong.tong            | 175    | 2188    |
|  139  | DarknessGuideMe      | 175    | 1867    |
|  140  | (ronnoc)             | 175    | 521     |
|  141  | flxj                 | 175    | 47      |
|  142  | __starrify__         | 174    | 1810    |
|  143  | fancitron            | 174    | 54      |
|  144  | HenryYang            | 173    | 2716    |
|  145  | (whatasha)           | 172    | 1886    |
|  146  | haiwangcat           | 172    | 1233    |
|  147  | jameslao             | 172    | 963     |
|  148  | skydark              | 171    | 1930    |
|  149  | bjin                 | 171    | 804     |
|  150  | ssynhtn              | 171    | 263     |
|  151  | Fazheng              | 171    | 84      |
|  152  | NiroBC               | 170    | 63      |
|  153  | (lhr0909)            | 169    | 2111    |
|  154  | chrisliu             | 169    | 1911    |
|  155  | JTJL                 | 169    | 44      |
|  156  | fwjmath              | 168    | 640     |
|  157  | shenyang             | 167    | 760     |
|  158  | (wywcgs)             | 166    | 220     |
|  159  | piaofengslg          | 166    | 112     |
|  160  | tif                  | 165    | 1239    |
|  161  | lanmaomao            | 165    | 291     |
|  162  | qlf2007              | 164    | 67      |
|  163  | (Bella)              | 163    | 1797    |
|  164  | carryyouaway         | 162    | 2312    |
|  165  | tz397                | 162    | 39      |
|  166  | phrock               | 161    | 3320    |
|  167  | jingwenhtp           | 161    | 2355    |
|  168  | lzyzizi              | 160    | 2212    |
|  169  | cleaner_leon         | 160    | 1948    |
|  170  | (JavierWu)           | 160    | 419     |
|  171  | michael_ho           | 160    | 92      |
|  172  | wanying              | 159    | 2154    |
|  173  | sweetJ               | 159    | 1436    |
|  174  | brickgao             | 159    | 858     |
|  175  | infmagic2047         | 159    | 536     |
|  176  | (kiiiiii)            | 159    | 76      |
|  177  | maomaoloverose       | 158    | 2301    |
|  178  | zmwang               | 158    | 1216    |
|  179  | qshadun              | 157    | 1252    |
|  180  | yinan                | 156    | 2642    |
|  181  | silwile              | 156    | 2507    |
|  182  | ziyuang              | 156    | 2394    |
|  183  | hjf                  | 156    | 401     |
|  184  | lihaitao             | 156    | 364     |
|  185  | (wzx961008)          | 156    | 36      |
|  186  | palayutm             | 156    | 26      |
|  187  | seanchen             | 155    | 2310    |
|  188  | RUCEric              | 155    | 2305    |
|  189  | linxh                | 154    | 3247    |
|  190  | dreamsky             | 154    | 1876    |
|  191  | litaoye              | 154    | 1186    |
|  192  | yudx                 | 154    | 1096    |
|  193  | Sempr                | 154    | 314     |
|  194  | huangd95             | 154    | 296     |
|  195  | dirtysalt            | 153    | 3222    |
|  196  | chensdiscovery       | 153    | 2955    |
|  197  | youngkent            | 153    | 1966    |
|  198  | Legendking           | 153    | 1091    |
|  199  | Junix                | 153    | 718     |
|  200  | lotus                | 153    | 258     |
|  201  | clearlove            | 153    | 39      |
|  202  | huanzhou2006         | 152    | 2955    |
|  203  | (milkyways)          | 152    | 1178    |
|  204  | l1t                  | 152    | 310     |
|  205  | (dataisland)         | 152    | 42      |
|  206  | remember86           | 151    | 2376    |
|  207  | aceeca1              | 151    | 1914    |
|  208  | hkkhhk               | 151    | 1860    |
|  209  | Nero                 | 151    | 161     |
|  210  | xx331234             | 150    | 600     |
|  211  | bluefire             | 149    | 1992    |
|  212  | (li.stayhere)        | 149    | 1643    |
|  213  | xiaoyi               | 149    | 1124    |
|  214  | xyz111               | 148    | 11      |
|  215  | melon1234            | 147    | 2685    |
|  216  | (critical27)         | 147    | 1927    |
|  217  | knorthplay           | 147    | 785     |
|  218  | Forever_you          | 147    | 111     |
|  219  | mo_0820              | 146    | 713     |
|  220  | liuyaqiu             | 146    | 19      |
|  221  | yushengjsman         | 145    | 1214    |
|  222  | (fishgazer)          | 144    | 2366    |
|  223  | alphaxiang           | 144    | 1749    |
|  224  | HJWAJ                | 144    | 173     |
|  225  | iljyya               | 143    | 1409    |
|  226  | husicbasic           | 143    | 20      |
|  227  | gjyalpha             | 142    | 2176    |
|  228  | txyyss               | 142    | 1882    |
|  229  | Amitabha             | 142    | 830     |
|  230  | wangch               | 141    | 86      |
|  231  | huguang              | 140    | 3157    |
|  232  | (daniel.you)         | 140    | 1798    |
|  233  | Gedicht              | 140    | 1549    |
|  234  | yanhan13             | 140    | 1438    |
|  235  | codelibrary          | 140    | 1344    |
|  236  | GideonWhu            | 140    | 1142    |
|  237  | xxfen                | 139    | 1605    |
|  238  | (huayi)              | 139    | 671     |
|  239  | skyivair             | 138    | 1292    |
|  240  | (friarchen)          | 138    | 1287    |
|  241  | Solaria              | 138    | 106     |
|  242  | famx_pencil          | 138    | 20      |
|  243  | gnocuil              | 137    | 1455    |
|  244  | (flyraibow)          | 137    | 1368    |
|  245  | dinghysora           | 137    | 1092    |
|  246  | ACMonster            | 136    | 1674    |
|  247  | jsxylzh              | 136    | 76      |
|  248  | 2huluanzi            | 135    | 2006    |
|  249  | hhanger              | 135    | 1987    |
|  250  | mickeyandkaka        | 135    | 116     |
|  251  | bovinova             | 134    | 1800    |
|  252  | zhuangxm             | 134    | 196     |
|  253  | matman               | 133    | 2684    |
|  254  | wjthu                | 133    | 2450    |
|  255  | danei                | 133    | 1098    |
|  256  | sdyy1990             | 133    | 924     |
|  257  | waterret             | 133    | 817     |
|  258  | (tmxk)               | 132    | 1036    |
|  259  | (xieyh11)            | 132    | 734     |
|  260  | Ra1nWarden           | 132    | 525     |
|  261  | cyand1317            | 132    | 113     |
|  262  | helium               | 131    | 4010    |
|  263  | leeduhem             | 131    | 1126    |
|  264  | NBAFifa              | 131    | 717     |
|  265  | (geniusnut)          | 131    | 448     |
|  266  | VictorWonder         | 131    | 155     |
|  267  | jiangerji            | 130    | 2820    |
|  268  | zxx714               | 130    | 1883    |
|  269  | Heart_Blue           | 130    | 496     |
|  270  | yshhq                | 129    | 2218    |
|  271  | daifei4321           | 129    | 2140    |
|  272  | (cwjcsu)             | 129    | 1028    |
|  273  | Eular                | 129    | 551     |
|  274  | zrq                  | 129    | 98      |
|  275  | (--..)               | 128    | 641     |
|  276  | spline               | 128    | 515     |
|  277  | justinxu             | 127    | 1800    |
|  278  | manandsea            | 127    | 1794    |
|  279  | judaplus             | 127    | 1435    |
|  280  | huntxu               | 127    | 1127    |
|  281  | minqiang             | 127    | 1080    |
|  282  | candyfeline          | 127    | 955     |
|  283  | Eastsun              | 127    | 763     |
|  284  | chuzm15              | 127    | 399     |
|  285  | (XupingYao)          | 127    | 219     |
|  286  | leapforlove          | 126    | 2171    |
|  287  | Roowe                | 126    | 2143    |
|  288  | whuawell             | 126    | 934     |
|  289  | Miku_chousuki        | 126    | 78      |
|  290  | fuwutu               | 125    | 1703    |
|  291  | forresty             | 125    | 1228    |
|  292  | chenminqi            | 125    | 792     |
|  293  | (547826947)          | 125    | 528     |
|  294  | guoheng              | 124    | 1926    |
|  295  | (liuq901)            | 124    | 1759    |
|  296  | Bephbin              | 124    | 614     |
|  297  | (huangyunict)        | 124    | 282     |
|  298  | (sfiction)           | 124    | 116     |
