rank,id,solved,last_solved
1=,id_97964_,600+,Jrdevil last solved a problem 5 days ago
1=,id_274577_,600+,baihacker last solved a problem 4 days ago
1=,id_593952_,600+,lizhusong922 last solved a problem 4 days ago
1=,id_625856_,600+,skyivben last solved a problem 2 days ago
1=,id_437133_,600+,roosephu last solved a problem 2 days ago
1=,id_590364_,600+,(whatsup) last solved a problem 68 days ago
7,id_204842_,532,eagles last solved a problem within the past day
8,id_277109_,525,LatticeGuy last solved a problem 4 days ago
9,id_226589_,520,cheng.di last solved a problem 368 days ago
10,id_536468_,510,taizhou last solved a problem 93 days ago
11,id_634007_,501,bukebuer last solved a problem within the past day
12,id_259912_,446,(lld2006) last solved a problem 504 days ago
13,id_835872_,445,Shawnmaza last solved a problem within the past day
14,id_407112_,438,liuguangxi last solved a problem 5 days ago
15,id_1265324_,438,vxv last solved a problem 5 days ago
16,id_51172_,436,tec last solved a problem 163 days ago
17,id_179229_,420,dhu_try last solved a problem 1764 days ago
18,id_294964_,408,GaoZone last solved a problem 158 days ago
19,id_372878_,404,shs.10978 last solved a problem within the past day
20,id_244184_,401,driversetc last solved a problem 18 days ago
21,id_38058_,387,ZhouYuChen last solved a problem 614 days ago
22,id_190303_,386,Jackalope last solved a problem 2088 days ago
23,id_161072_,384,fox0571 last solved a problem 2187 days ago
24,id_496041_,382,wwwwodddd last solved a problem 29 days ago
25,id_1129567_,364,aaahhh last solved a problem 64 days ago
26,id_366024_,364,sevenkplus last solved a problem 18 days ago
27,id_94675_,361,chzhou last solved a problem 379 days ago
28,id_153041_,353,(Slipper) last solved a problem 1342 days ago
29,id_1290156_,345,redhill42 last solved a problem 1 day ago
30,id_134446_,339,ljq last solved a problem 1960 days ago
31,id_477782_,333,ftiasch last solved a problem 162 days ago
32,id_161821_,325,goalboy last solved a problem 2169 days ago
33,id_545499_,321,czp last solved a problem 10 days ago
34,id_63044_,315,int last solved a problem 132 days ago
35,id_943389_,315,mpanlei last solved a problem 100 days ago
36,id_28736_,312,zhzs last solved a problem 2812 days ago
37,id_188055_,311,vici last solved a problem 49 days ago
38,id_28426_,307,waiwaipig last solved a problem 2039 days ago
39,id_66551_,306,eming last solved a problem 2855 days ago
40,id_196002_,306,taolei last solved a problem 1027 days ago
41,id_78267_,305,asmn last solved a problem 1409 days ago
42,id_325110_,303,esun-w last solved a problem 255 days ago
43,id_355110_,302,xtlisk last solved a problem 1395 days ago
44,id_391095_,301,scturtle last solved a problem 1246 days ago
45,id_91328_,300,HKX last solved a problem 1877 days ago
46,id_1005155_,300,LzyRapx last solved a problem within the past day
47,id_744345_,292,quailty last solved a problem 31 days ago
48,id_737459_,291,Tangent last solved a problem within the past day
49,id_231635_,285,coolwanglu last solved a problem 2262 days ago
50,id_1301587_,282,misaka20001 last solved a problem 98 days ago
51,id_473968_,278,lrzh last solved a problem 304 days ago
52,id_181236_,270,l2y3n2 last solved a problem 1241 days ago
53,id_390699_,268,MATH_WangXU last solved a problem 83 days ago
54,id_96798_,267,ben1222 last solved a problem 2454 days ago
55,id_1133012_,265,3140101958 last solved a problem 193 days ago
56,id_367462_,259,jackchess last solved a problem 122 days ago
57,id_1008069_,258,Weifeng_Sun last solved a problem 282 days ago
58,id_1183210_,258,lidan615 last solved a problem within the past day
59,id_421366_,257,superdesert last solved a problem 1418 days ago
60,id_957440_,255,czgj1999 last solved a problem 90 days ago
61,id_38270_,254,Rinick last solved a problem 3231 days ago
62,id_56683_,251,falseskywalker last solved a problem 3343 days ago
63,id_51729_,251,xiaoyukina last solved a problem 2103 days ago
64,id_932915_,247,luyunlong last solved a problem 212 days ago
65,id_863248_,246,zscc last solved a problem 129 days ago
66,id_1004145_,246,vapor last solved a problem 3 days ago
67,id_1223588_,243,strong49 last solved a problem within the past day
68,id_50828_,242,greedp last solved a problem 1603 days ago
69,id_211636_,241,Ekoms_The_Insane last solved a problem 2332 days ago
70,id_204681_,236,stir67 last solved a problem 2452 days ago
71,id_448035_,236,sharpeye last solved a problem 239 days ago
72,id_660551_,236,wuyingddg last solved a problem 158 days ago
73,id_25426_,234,chyx last solved a problem 2082 days ago
74,id_477494_,234,(zbanach) last solved a problem 367 days ago
75,id_91699_,233,BigGuava last solved a problem 3203 days ago
76,id_136927_,231,Ledrug last solved a problem 2602 days ago
77,id_1197017_,230,wcysai last solved a problem within the past day
78,id_325112_,226,andor9 last solved a problem 393 days ago
79,id_220573_,225,zouxun last solved a problem 2518 days ago
80,id_162439_,225,tifa last solved a problem 698 days ago
81,id_616807_,221,lugionline last solved a problem 44 days ago
82,id_614758_,219,yangxinyu last solved a problem 225 days ago
83,id_198613_,214,jasonzd last solved a problem 1152 days ago
84,id_604530_,214,qu317058542 last solved a problem 399 days ago
85,id_852362_,214,Sd.Invol last solved a problem 327 days ago
86,id_510457_,213,lllllllllllll last solved a problem 1649 days ago
87,id_1050915_,213,(wangh98) last solved a problem 9 days ago
88,id_784521_,212,alephalpha last solved a problem 1034 days ago
89,id_574949_,212,Alec_tk last solved a problem 213 days ago
90,id_541653_,211,xymeng last solved a problem 480 days ago
91,id_25835_,210,idiot94 last solved a problem 3605 days ago
92,id_25523_,210,MATLABMATH last solved a problem 3602 days ago
93,id_20483_,209,hupo001 last solved a problem 3421 days ago
94,id_470994_,209,mathyrl last solved a problem 961 days ago
95,id_211551_,209,bigeast last solved a problem 113 days ago
96,id_330873_,208,llhuii last solved a problem 1745 days ago
97,id_285391_,208,xbtianlang last solved a problem 1658 days ago
98,id_23994_,207,purelisp last solved a problem 2895 days ago
99,id_658700_,207,foreverbell last solved a problem 599 days ago
100,id_1051127_,207,luotuoqingshan last solved a problem 79 days ago
101,id_945209_,207,fjzzq2002 last solved a problem 1 day ago
102,id_282393_,206,physhark last solved a problem 1864 days ago
103,id_828741_,206,lyensolarism last solved a problem 139 days ago
104,id_72490_,205,Yishun last solved a problem 338 days ago
105,id_1201371_,205,grf1973 last solved a problem 171 days ago
106,id_180941_,204,llq17501 last solved a problem 1177 days ago
107,id_1097516_,204,lunjgr last solved a problem 440 days ago
108,id_25188_,202,staynight last solved a problem 1345 days ago
109,id_28739_,202,yshui last solved a problem 1023 days ago
110,id_50152_,201,SkyShaw last solved a problem 2296 days ago
111,id_347382_,201,wanbo last solved a problem 1236 days ago
112,id_119661_,201,zhymaoiing last solved a problem 522 days ago
113,id_128238_,199,cgy4ever last solved a problem 894 days ago
114,id_33502_,195,redfield last solved a problem 3188 days ago
115,id_163571_,195,kennethsnow last solved a problem 244 days ago
116,id_703376_,194,YiCyunSaBi last solved a problem 693 days ago
117,id_134510_,192,neutrino21 last solved a problem 45 days ago
118,id_311340_,191,rujialiu last solved a problem 1653 days ago
119,id_26319_,189,ftfish last solved a problem 13 days ago
120,id_510284_,189,natsukage last solved a problem 5 days ago
121,id_95577_,188,cuiaoxiang last solved a problem 510 days ago
122,id_1193809_,187,lyyshp last solved a problem 115 days ago
123,id_351020_,186,taoyijie last solved a problem 327 days ago
124,id_814892_,186,abcwuhang last solved a problem within the past day
125,id_386608_,185,ctzsm last solved a problem 732 days ago
126,id_80455_,184,sha1 last solved a problem 2554 days ago
127,id_66505_,184,kaifeng last solved a problem 1905 days ago
128,id_253083_,183,bbsdkjdx last solved a problem 557 days ago
129,id_87704_,182,northwolves last solved a problem 602 days ago
130,id_121454_,181,seaker last solved a problem 3024 days ago
131,id_96253_,181,lby1990 last solved a problem 2277 days ago
132,id_151834_,181,lijiaqigreat last solved a problem 309 days ago
133,id_557650_,180,xiaoshua last solved a problem 685 days ago
134,id_510194_,179,S3_N last solved a problem 670 days ago
135,id_938763_,177,yuezheng last solved a problem 461 days ago
136,id_842363_,177,(lyp2015) last solved a problem 245 days ago
137,id_442595_,177,Dezhonger last solved a problem 44 days ago
138,id_38639_,175,wong.tong last solved a problem 2188 days ago
139,id_435610_,175,DarknessGuideMe last solved a problem 1867 days ago
140,id_457892_,175,(ronnoc) last solved a problem 521 days ago
141,id_1171646_,175,flxj last solved a problem 47 days ago
142,id_132825_,174,__starrify__ last solved a problem 1810 days ago
143,id_212725_,174,fancitron last solved a problem 54 days ago
144,id_189860_,173,HenryYang last solved a problem 2716 days ago
145,id_111239_,172,(whatasha) last solved a problem 1886 days ago
146,id_441900_,172,haiwangcat last solved a problem 1233 days ago
147,id_324027_,172,jameslao last solved a problem 963 days ago
148,id_280230_,171,skydark last solved a problem 1930 days ago
149,id_187515_,171,bjin last solved a problem 804 days ago
150,id_33115_,171,ssynhtn last solved a problem 263 days ago
151,id_710482_,171,Fazheng last solved a problem 84 days ago
152,id_884882_,170,NiroBC last solved a problem 63 days ago
153,id_110610_,169,(lhr0909) last solved a problem 2111 days ago
154,id_28509_,169,chrisliu last solved a problem 1911 days ago
155,id_971021_,169,JTJL last solved a problem 44 days ago
156,id_26949_,168,fwjmath last solved a problem 640 days ago
157,id_983499_,167,shenyang last solved a problem 760 days ago
158,id_8099_,166,(wywcgs) last solved a problem 220 days ago
159,id_1279323_,166,piaofengslg last solved a problem 112 days ago
160,id_483421_,165,tif last solved a problem 1239 days ago
161,id_912250_,165,lanmaomao last solved a problem 291 days ago
162,id_1243833_,164,qlf2007 last solved a problem 67 days ago
163,id_519452_,163,(Bella) last solved a problem 1797 days ago
164,id_178577_,162,carryyouaway last solved a problem 2312 days ago
165,id_1011072_,162,tz397 last solved a problem 39 days ago
166,id_89394_,161,phrock last solved a problem 3320 days ago
167,id_234461_,161,jingwenhtp last solved a problem 2355 days ago
168,id_156345_,160,lzyzizi last solved a problem 2212 days ago
169,id_161172_,160,cleaner_leon last solved a problem 1948 days ago
170,id_520546_,160,(JavierWu) last solved a problem 419 days ago
171,id_965924_,160,michael_ho last solved a problem 92 days ago
172,id_311185_,159,wanying last solved a problem 2154 days ago
173,id_576602_,159,sweetJ last solved a problem 1436 days ago
174,id_584383_,159,brickgao last solved a problem 858 days ago
175,id_1063289_,159,infmagic2047 last solved a problem 536 days ago
176,id_1009760_,159,(kiiiiii) last solved a problem 76 days ago
177,id_199024_,158,maomaoloverose last solved a problem 2301 days ago
178,id_382515_,158,zmwang last solved a problem 1216 days ago
179,id_463254_,157,qshadun last solved a problem 1252 days ago
180,id_83649_,156,yinan last solved a problem 2642 days ago
181,id_3738_,156,silwile last solved a problem 2507 days ago
182,id_39600_,156,ziyuang last solved a problem 2394 days ago
183,id_561058_,156,hjf last solved a problem 401 days ago
184,id_779511_,156,lihaitao last solved a problem 364 days ago
185,id_1288446_,156,(wzx961008) last solved a problem 36 days ago
186,id_1135231_,156,palayutm last solved a problem 26 days ago
187,id_295882_,155,seanchen last solved a problem 2310 days ago
188,id_157935_,155,RUCEric last solved a problem 2305 days ago
189,id_50452_,154,linxh last solved a problem 3247 days ago
190,id_37415_,154,dreamsky last solved a problem 1876 days ago
191,id_403130_,154,litaoye last solved a problem 1186 days ago
192,id_393128_,154,yudx last solved a problem 1096 days ago
