|-------+----------------------+--------+---------|
|  rank | name                 | solved | recent  |
|-------+----------------------+--------+---------|
|  11   | bukebuer             | 501    | 0       |
|  124  | abcwuhang            | 186    | 0       |
|  13   | Shawnmaza            | 445    | 0       |
|  19   | shs.10978            | 404    | 0       |
|  46   | LzyRapx              | 300    | 0       |
|  48   | Tangent              | 291    | 0       |
|  58   | lidan615             | 258    | 0       |
|  635  | zqy1018              | 79     | 0       |
|  67   | strong49             | 243    | 0       |
|  77   | wcysai               | 230    | 0       |
|  7    | eagles               | 532    | 0       |
|  839  | jeffjoy              | 67     | 0       |
|  101  | fjzzq2002            | 207    | 1       |
|  29   | redhill42            | 345    | 1       |
|  372  | petitfish            | 109    | 1       |
|  483  | southpacific         | 93     | 1       |
|  777  | (wuyanxue)           | 70     | 1       |
|  1=   | roosephu             | 600+   | 2       |
|  1=   | skyivben             | 600+   | 2       |
|  649  | fanzhengchen         | 78     | 3       |
|  66   | vapor                | 246    | 3       |
|  1=   | baihacker            | 600+   | 4       |
|  1=   | lizhusong922         | 600+   | 4       |
|  726  | swm_sxt              | 73     | 4       |
|  8    | LatticeGuy           | 525    | 4       |
|  120  | natsukage            | 189    | 5       |
|  14   | liuguangxi           | 438    | 5       |
|  15   | vxv                  | 438    | 5       |
|  1=   | Jrdevil              | 600+   | 5       |
|  607  | WeirdBlack           | 81     | 7       |
|  87   | (wangh98)            | 213    | 9       |
|  957  | XzzF                 | 62     | 9       |
|  33   | czp                  | 321    | 10      |
|  706  | MrJingjie            | 75     | 10      |
|  214  | xyz111               | 148    | 11      |
|  119  | ftfish               | 189    | 13      |
|  381  | wftao1995            | 108    | 13      |
|  20   | driversetc           | 401    | 18      |
|  26   | sevenkplus           | 364    | 18      |
|  220  | liuyaqiu             | 146    | 19      |
|  226  | husicbasic           | 143    | 20      |
|  242  | famx_pencil          | 138    | 20      |
|  323  | zball                | 119    | 22      |
|  361  | syb9258              | 111    | 24      |
|  776  | spiedeman            | 70     | 24      |
|  333  | (shenlei)            | 116    | 25      |
|  186  | palayutm             | 156    | 26      |
|  426  | D_Tesla              | 102    | 26      |
|  519  | mpouse               | 88     | 27      |
|  716  | StefanieLoveSun      | 74     | 27      |
|  24   | wwwwodddd            | 382    | 29      |
|  662  | RanpoX               | 77     | 29      |
|  360  | s251258132           | 111    | 30      |
|  380  | (sel-fish)           | 108    | 30      |
|  619  | xiqi                 | 80     | 30      |
|  47   | quailty              | 292    | 31      |
|  322  | Protoss              | 119    | 32      |
|  715  | (strA)               | 74     | 32      |
|  760  | YukkuriC             | 71     | 34      |
|  864  | sukhoi               | 66     | 34      |
|  185  | (wzx961008)          | 156    | 36      |
|  800  | wlh320               | 69     | 36      |
|  165  | tz397                | 162    | 39      |
|  201  | clearlove            | 153    | 39      |
|  438  | (289728525)          | 101    | 40      |
|  205  | (dataisland)         | 152    | 42      |
|  137  | Dezhonger            | 177    | 44      |
|  155  | JTJL                 | 169    | 44      |
|  81   | lugionline           | 221    | 44      |
|  117  | neutrino21           | 192    | 45      |
|  141  | flxj                 | 175    | 47      |
|  37   | vici                 | 311    | 49      |
|  495  | mytbk                | 91     | 50      |
|  648  | smsxgz               | 78     | 50      |
|  575  | OhHaHaHa             | 83     | 52      |
|  317  | 1400011786           | 120    | 53      |
|  911  | Sagazty              | 64     | 53      |
|  143  | fancitron            | 174    | 54      |
|  799  | lovememo             | 69     | 56      |
|  775  | n-p                  | 70     | 57      |
|  745  | (yizer)              | 72     | 62      |
|  152  | NiroBC               | 170    | 63      |
|  25   | aaahhh               | 364    | 64      |
|  774  | (1429142566)         | 70     | 64      |
|  162  | qlf2007              | 164    | 67      |
|  988  | Hou-Rui              | 61     | 67      |
|  1=   | (whatsup)            | 600+   | 68      |
|  838  | qcf81                | 67     | 68      |
|  176  | (kiiiiii)            | 159    | 76      |
|  247  | jsxylzh              | 136    | 76      |
|  606  | lujing.zui           | 81     | 76      |
|  661  | Westballz            | 77     | 77      |
|  289  | Miku_chousuki        | 126    | 78      |
|  100  | luotuoqingshan       | 207    | 79      |
|  53   | MATH_WangXU          | 268    | 83      |
|  151  | Fazheng              | 171    | 84      |
|  230  | wangch               | 141    | 86      |
|  336  | zechac               | 115    | 86      |
|  605  | zhengyi              | 81     | 87      |
|  759  | tianlong.Z           | 71     | 88      |
|  956  | Alexander_Zeng       | 62     | 88      |
|  60   | czgj1999             | 255    | 90      |
|  171  | michael_ho           | 160    | 92      |
|  10   | taizhou              | 510    | 93      |
|  274  | zrq                  | 129    | 98      |
|  50   | misaka20001          | 282    | 98      |
|  35   | mpanlei              | 315    | 100     |
|  822  | pythoner713          | 68     | 103     |
|  329  | sittingbull          | 117    | 104     |
|  241  | Solaria              | 138    | 106     |
|  346  | vvee99               | 113    | 106     |
|  894  | johnsonye            | 65     | 110     |
|  218  | Forever_you          | 147    | 111     |
|  159  | piaofengslg          | 166    | 112     |
