|-------+----------------------------------+--------+---------|
|  rank | name                             | solved | recent  |
|-------+----------------------------------+--------+---------|
|  1=   | utomaya                          | 600+   | 5       |
|  1=   | inamori                          | 600+   | 7       |
|  1=   | uwi                              | 600+   | 5       |
|  1=   | Min_25                           | 600+   | 5       |
|  5    | haruya                           | 557    | 3       |
|  6    | ax8529221                        | 506    | 5       |
|  7    | triceps                          | 486    | 1174    |
|  8    | xsd                              | 483    | 102     |
|  9    | jun0                             | 473    | 1355    |
|  10   | chaemon                          | 439    | 726     |
|  11   | rokusuke                         | 437    | 5       |
|  12   | ariom44                          | 421    | 14      |
|  13   | jujaji                           | 412    | 505     |
|  14   | rng_58                           | 404    | 1804    |
|  15   | maikaze                          | 404    | 2       |
|  16   | hidesugar                        | 394    | 25      |
|  17   | __math                           | 391    | 503     |
|  18   | maspuyo                          | 384    | 440     |
|  19   | Takai                            | 383    | 2193    |
|  20   | tsuchiya.yoshihiro               | 383    | 440     |
|  21   | kozima                           | 383    | 1       |
|  22   | touma                            | 382    | 41      |
|  23   | niino                            | 378    | 1650    |
|  24   | manman                           | 367    | 168     |
|  25   | Kawazoe                          | 360    | 1887    |
|  26   | jeneshicc                        | 357    | 1191    |
|  27   | sarasouju                        | 344    | 392     |
|  28   | hakase                           | 333    | 2264    |
|  29   | herumi                           | 328    | 1704    |
|  30   | SANSEN                           | 327    | 8       |
|  31   | lycaste                          | 326    | 0       |
|  32   | natsugiri                        | 319    | 292     |
|  33   | (garnacha)                       | 319    | 0       |
|  34   | mame                             | 318    | 2527    |
|  35   | tokoharu                         | 310    | 494     |
|  36   | (Lenqth)                         | 303    | 160     |
|  37   | (TatsuDX)                        | 303    | 41      |
|  38   | imgry22                          | 300    | 12      |
|  39   | kyusuke                          | 299    | 1842    |
|  40   | naoya_t                          | 299    | 886     |
|  41   | pp6pk                            | 296    | 143     |
|  42   | stqn                             | 288    | 1187    |
|  43   | koji_t                           | 283    | 900     |
|  44   | kaoru                            | 281    | 2874    |
|  45   | nu4nu                            | 281    | 296     |
|  46   | ko12345                          | 280    | 1077    |
|  47   | yasuyuki_abe                     | 275    | 158     |
|  48   | sO3SrLCr4Rqb00Zr4nIYCVBPZ_oFimST | 274    | 2       |
|  49   | airobo                           | 273    | 4       |
|  50   | tak                              | 270    | 1722    |
|  51   | cddddr                           | 269    | 1437    |
|  52   | steelydon                        | 265    | 1975    |
|  53   | Mi_Sawa                          | 264    | 1126    |
|  54   | my316g                           | 262    | 17      |
|  55   | walkover                         | 261    | 451     |
|  56   | Rio                              | 259    | 3068    |
|  57   | aitdccd                          | 258    | 65      |
|  58   | ecottea                          | 257    | 1008    |
|  59   | rst76                            | 252    | 3282    |
|  60   | tbsk                             | 250    | 2684    |
|  61   | T_GYOUTEN                        | 247    | 2368    |
|  62   | ush                              | 247    | 1288    |
|  63   | homuler                          | 245    | 1440    |
|  64   | tomerun                          | 245    | 607     |
