|-------+-------------+--------+--------------------------------------------------------------------|
|  rank | id          | solved | last_solved                                                        |
|-------+-------------+--------+--------------------------------------------------------------------|
|  1=   | id_115989_  | 600+   | utomaya last solved a problem 5 days ago                           |
|  1=   | id_88001_   | 600+   | inamori last solved a problem 7 days ago                           |
|  1=   | id_46366_   | 600+   | uwi last solved a problem 5 days ago                               |
|  1=   | id_434751_  | 600+   | Min_25 last solved a problem 5 days ago                            |
|  5    | id_814079_  | 557    | haruya last solved a problem 3 days ago                            |
|  6    | id_825953_  | 506    | ax8529221 last solved a problem 5 days ago                         |
|  7    | id_143828_  | 486    | triceps last solved a problem 1174 days ago                        |
|  8    | id_36274_   | 483    | xsd last solved a problem 102 days ago                             |
|  9    | id_160000_  | 473    | jun0 last solved a problem 1355 days ago                           |
|  10   | id_98631_   | 439    | chaemon last solved a problem 726 days ago                         |
|  11   | id_900353_  | 437    | rokusuke last solved a problem 5 days ago                          |
|  12   | id_286268_  | 421    | ariom44 last solved a problem 14 days ago                          |
|  13   | id_250976_  | 412    | jujaji last solved a problem 505 days ago                          |
|  14   | id_106411_  | 404    | rng_58 last solved a problem 1804 days ago                         |
|  15   | id_380249_  | 404    | maikaze last solved a problem 2 days ago                           |
|  16   | id_983952_  | 394    | hidesugar last solved a problem 25 days ago                        |
|  17   | id_360464_  | 391    | __math last solved a problem 503 days ago                          |
|  18   | id_382717_  | 384    | maspuyo last solved a problem 440 days ago                         |
|  19   | id_368127_  | 383    | Takai last solved a problem 2193 days ago                          |
|  20   | id_28646_   | 383    | tsuchiya.yoshihiro last solved a problem 440 days ago              |
|  21   | id_37582_   | 383    | kozima last solved a problem 1 day ago                             |
|  22   | id_141217_  | 382    | touma last solved a problem 41 days ago                            |
|  23   | id_63662_   | 378    | niino last solved a problem 1650 days ago                          |
|  24   | id_648345_  | 367    | manman last solved a problem 168 days ago                          |
|  25   | id_82344_   | 360    | Kawazoe last solved a problem 1887 days ago                        |
|  26   | id_55571_   | 357    | jeneshicc last solved a problem 1191 days ago                      |
|  27   | id_75070_   | 344    | sarasouju last solved a problem 392 days ago                       |
|  28   | id_28875_   | 333    | hakase last solved a problem 2264 days ago                         |
|  29   | id_154985_  | 328    | herumi last solved a problem 1704 days ago                         |
|  30   | id_716532_  | 327    | SANSEN last solved a problem 8 days ago                            |
|  31   | id_830744_  | 326    | lycaste last solved a problem within the past day                  |
|  32   | id_176448_  | 319    | natsugiri last solved a problem 292 days ago                       |
|  33   | id_889827_  | 319    | (garnacha) last solved a problem within the past day               |
|  34   | id_27983_   | 318    | mame last solved a problem 2527 days ago                           |
|  35   | id_129922_  | 310    | tokoharu last solved a problem 494 days ago                        |
|  36   | id_812471_  | 303    | (Lenqth) last solved a problem 160 days ago                        |
|  37   | id_970197_  | 303    | (TatsuDX) last solved a problem 41 days ago                        |
|  38   | id_595110_  | 300    | imgry22 last solved a problem 12 days ago                          |
|  39   | id_85405_   | 299    | kyusuke last solved a problem 1842 days ago                        |
|  40   | id_50836_   | 299    | naoya_t last solved a problem 886 days ago                         |
|  41   | id_103958_  | 296    | pp6pk last solved a problem 143 days ago                           |
|  42   | id_154581_  | 288    | stqn last solved a problem 1187 days ago                           |
|  43   | id_137807_  | 283    | koji_t last solved a problem 900 days ago                          |
|  44   | id_26001_   | 281    | kaoru last solved a problem 2874 days ago                          |
|  45   | id_525638_  | 281    | nu4nu last solved a problem 296 days ago                           |
|  46   | id_245272_  | 280    | ko12345 last solved a problem 1077 days ago                        |
|  47   | id_319667_  | 275    | yasuyuki_abe last solved a problem 158 days ago                    |
|  48   | id_902381_  | 274    | sO3SrLCr4Rqb00Zr4nIYCVBPZ_oFimST last solved a problem 2 days ago  |
|  49   | id_152885_  | 273    | airobo last solved a problem 4 days ago                            |
|  50   | id_120880_  | 270    | tak last solved a problem 1722 days ago                            |
|  51   | id_125834_  | 269    | cddddr last solved a problem 1437 days ago                         |
|  52   | id_141837_  | 265    | steelydon last solved a problem 1975 days ago                      |
|  53   | id_75292_   | 264    | Mi_Sawa last solved a problem 1126 days ago                        |
|  54   | id_522533_  | 262    | my316g last solved a problem 17 days ago                           |
|  55   | id_176401_  | 261    | walkover last solved a problem 451 days ago                        |
|  56   | id_28820_   | 259    | Rio last solved a problem 3068 days ago                            |
|  57   | id_1111145_ | 258    | aitdccd last solved a problem 65 days ago                          |
|  58   | id_471742_  | 257    | ecottea last solved a problem 1008 days ago                        |
|  59   | id_29464_   | 252    | rst76 last solved a problem 3282 days ago                          |
|  60   | id_36182_   | 250    | tbsk last solved a problem 2684 days ago                           |
|  61   | id_36564_   | 247    | T_GYOUTEN last solved a problem 2368 days ago                      |
|  62   | id_28589_   | 247    | ush last solved a problem 1288 days ago                            |
|  63   | id_383862_  | 245    | homuler last solved a problem 1440 days ago                        |
