|-------+----------------------------------+--------+---------|
|  rank | name                             | solved | recent  |
|-------+----------------------------------+--------+---------|
|  31   | lycaste                          | 326    | 0       |
|  33   | (garnacha)                       | 319    | 0       |
|  349  | k87                              | 104    | 0       |
|  561  | dqmaniac                         | 80     | 0       |
|  876  | paruki-                          | 62     | 0       |
|  105  | from-nuis                        | 184    | 1       |
|  21   | kozima                           | 383    | 1       |
|  520  | (mb01)                           | 84     | 1       |
|  156  | hidetakak2                       | 154    | 2       |
|  15   | maikaze                          | 404    | 2       |
|  371  | tknob3                           | 101    | 2       |
|  48   | sO3SrLCr4Rqb00Zr4nIYCVBPZ_oFimST | 274    | 2       |
|  76   | fksw                             | 222    | 2       |
|  5    | haruya                           | 557    | 3       |
|  85   | ryomiya                          | 213    | 3       |
|  148  | (utmath)                         | 157    | 4       |
|  49   | airobo                           | 273    | 4       |
|  11   | rokusuke                         | 437    | 5       |
|  1=   | Min_25                           | 600+   | 5       |
|  1=   | utomaya                          | 600+   | 5       |
|  1=   | uwi                              | 600+   | 5       |
|  6    | ax8529221                        | 506    | 5       |
|  726  | htkb                             | 69     | 6       |
|  1=   | inamori                          | 600+   | 7       |
|  973  | azakaz                           | 59     | 7       |
|  30   | SANSEN                           | 327    | 8       |
|  653  | matttttu                         | 74     | 10      |
|  38   | imgry22                          | 300    | 12      |
|  12   | ariom44                          | 421    | 14      |
|  54   | my316g                           | 262    | 17      |
|  627  | B5-ha                            | 76     | 18      |
|  250  | (ProjectSeagull)                 | 126    | 21      |
|  414  | expajp                           | 95     | 21      |
|  16   | hidesugar                        | 394    | 25      |
|  469  | como314                          | 88     | 27      |
|  22   | touma                            | 382    | 41      |
|  37   | (TatsuDX)                        | 303    | 41      |
|  939  | como3                            | 60     | 41      |
|  101  | hariharsha                       | 188    | 43      |
|  725  | penoken                          | 69     | 45      |
|  142  | yudedako                         | 162    | 51      |
|  348  | nishinojunji                     | 104    | 51      |
|  147  | deltacat                         | 157    | 55      |
|  65   | yamaguch                         | 245    | 55      |
|  314  | rydia001                         | 110    | 58      |
|  164  | noriok                           | 151    | 61      |
|  88   | chromia                          | 205    | 61      |
|  89   | square1001                       | 204    | 61      |
|  253  | kazushi                          | 125    | 62      |
|  405  | huwakun                          | 96     | 62      |
|  151  | altnelico1                       | 156    | 63      |
|  333  | ryo.i                            | 106    | 64      |
|  57   | aitdccd                          | 258    | 65      |
|  437  | Konno_Ryo                        | 92     | 67      |
|  194  | oteru50                          | 141    | 70      |
|  224  | t5tmy                            | 131    | 72      |
|  709  | mctibbs                          | 70     | 73      |
|  114  | kentaro.wakai                    | 178    | 74      |
|  508  | moratori                         | 85     | 74      |
|  95   | hirose                           | 192    | 75      |
|  304  | osushi                           | 112    | 84      |
|  73   | takamura                         | 223    | 88      |
|  155  | zawisha                          | 154    | 89      |
|  161  | todo                             | 152    | 90      |
|  125  | gomis                            | 169    | 92      |
|  298  | noppo                            | 113    | 94      |
|  858  | o2ka                             | 63     | 94      |
|  972  | future731                        | 59     | 94      |
|  971  | ittanmoment                      | 59     | 96      |
|  297  | (root16)                         | 113    | 97      |
|  487  | sweetberry                       | 87     | 98      |
|  429  | Szigeta                          | 93     | 99      |
|  81   | OKUDA_Yoshifumi                  | 218    | 102     |
|  8    | xsd                              | 483    | 102     |
|  665  | scranble                         | 73     | 107     |
|  436  | (ref4d)                          | 92     | 108     |
|  646  | yuzuponikemi                     | 75     | 112     |
|  762  | okamotoy                         | 67     | 112     |
|  423  | mena_nann                        | 94     | 122     |
