rank,id,solved,last_solved
1=,id_413481_,600+,willhsmit last solved a problem 5 days ago
1=,id_658132_,600+,dev_random last solved a problem 201 days ago
1=,id_30130_,600+,unime last solved a problem 5 days ago
1=,id_38568_,600+,(MarcusAndrews) last solved a problem 39 days ago
1=,id_80083_,600+,al13n last solved a problem within the past day
1=,id_1135324_,600+,radeye last solved a problem 5 days ago
1=,id_61197_,600+,Stache last solved a problem 4 days ago
1=,id_258426_,600+,cmk last solved a problem 19 days ago
9,id_241319_,598,ving last solved a problem 2 days ago
10,id_981031_,574,SlavaKabanovich last solved a problem 5 days ago
11,id_257386_,571,binonunquineist last solved a problem 326 days ago
12,id_253921_,568,akdheirl last solved a problem 326 days ago
13,id_668047_,558,mathseal last solved a problem 106 days ago
14,id_192346_,556,ubiquitousgrape last solved a problem 13 days ago
15,id_65349_,542,DerekLedbetter last solved a problem 4 days ago
16,id_344732_,527,pyrolykos last solved a problem 1 day ago
17,id_96401_,523,(sivakd) last solved a problem 27 days ago
18,id_116003_,513,aruff last solved a problem 192 days ago
19,id_77108_,508,(kingvash) last solved a problem 11 days ago
20,id_236_,493,Eigenray last solved a problem 390 days ago
21,id_29845_,490,devjoe last solved a problem 19 days ago
22,id_68512_,486,phsr last solved a problem 198 days ago
23,id_214193_,485,ecnerwala last solved a problem 1 day ago
24,id_510484_,480,pwensing last solved a problem 247 days ago
25,id_649112_,471,antwerpn last solved a problem 417 days ago
26,id_88071_,459,rprestezog last solved a problem 605 days ago
27,id_105637_,457,amcalde last solved a problem 38 days ago
28,id_9204_,456,mathguy314 last solved a problem 1163 days ago
29,id_34275_,451,silver83p last solved a problem 53 days ago
30,id_299067_,449,doctornick5 last solved a problem 232 days ago
31,id_41865_,447,Murphy last solved a problem 121 days ago
32,id_168255_,446,(jpaulson) last solved a problem 72 days ago
33,id_136905_,442,(DjinnKahn) last solved a problem 1637 days ago
34,id_1826_,442,neverforget last solved a problem 928 days ago
35,id_1095482_,438,Robert_OConnor last solved a problem 46 days ago
36,id_281859_,437,supdude1 last solved a problem 1591 days ago
37,id_178551_,433,thundre last solved a problem 1440 days ago
38,id_990115_,432,16777216 last solved a problem 20 days ago
39,id_214801_,432,moovybuf last solved a problem within the past day
40,id_858911_,425,pismobiker last solved a problem 5 days ago
41,id_440567_,417,mckennar last solved a problem 396 days ago
42,id_1755_,413,(PeterW) last solved a problem 438 days ago
43,id_482880_,412,mrauen last solved a problem 264 days ago
44,id_97123_,411,oldpatzer last solved a problem within the past day
45,id_503563_,410,donhatch last solved a problem 359 days ago
46,id_949983_,405,tcarr last solved a problem 23 days ago
47,id_1077387_,404,bdolson last solved a problem 6 days ago
48,id_513791_,401,modem last solved a problem 20 days ago
49,id_174740_,397,nirenjan last solved a problem 2019 days ago
50,id_325325_,397,(Rapptz) last solved a problem 724 days ago
51,id_414245_,396,universalset last solved a problem 35 days ago
52,id_481729_,392,candells last solved a problem 5 days ago
53,id_959608_,392,stevefr01 last solved a problem 3 days ago
54,id_1027729_,392,Anton_Chigurh last solved a problem within the past day
55,id_160459_,384,(ChamZord) last solved a problem 2197 days ago
56,id_357148_,379,shazzam last solved a problem 1592 days ago
57,id_97439_,379,dgiaimo last solved a problem 134 days ago
58,id_393379_,376,(davin) last solved a problem 1211 days ago
59,id_113460_,373,jboeing last solved a problem 724 days ago
60,id_67390_,372,navghtivs last solved a problem 164 days ago
61,id_215431_,372,(jake223) last solved a problem 37 days ago
62,id_284965_,372,(kelvinator) last solved a problem 1 day ago
63,id_265746_,368,grantcarlson last solved a problem 162 days ago
64,id_102127_,368,lackritz last solved a problem 6 days ago
65,id_52583_,367,Ben.Smallpox last solved a problem 1269 days ago
66,id_39572_,367,mark last solved a problem 91 days ago
67,id_727125_,365,s.c.koehler last solved a problem 45 days ago
68,id_267015_,362,Anyun last solved a problem 2192 days ago
69,id_257423_,362,(robot-dreams) last solved a problem 38 days ago
70,id_847057_,361,(heteroing) last solved a problem 3 days ago
71,id_701265_,358,CreativeUsername last solved a problem 374 days ago
72,id_273914_,358,(fahrbach) last solved a problem 34 days ago
73,id_126774_,357,diffeqkid last solved a problem 865 days ago
74,id_579186_,356,DanRoss53 last solved a problem 553 days ago
75,id_74041_,356,jarsyl last solved a problem 471 days ago
76,id_15994_,356,Ryals last solved a problem 1 day ago
77,id_1193_,355,cdoumar last solved a problem 2023 days ago
78,id_127455_,355,eporter last solved a problem 1934 days ago
79,id_274336_,355,Zach-Lurf last solved a problem 72 days ago
80,id_103618_,352,jarip last solved a problem 37 days ago
81,id_286481_,352,(kavigupta) last solved a problem 5 days ago
82,id_689295_,351,(dgokman) last solved a problem 4 days ago
83,id_11257_,349,JohnMorris last solved a problem 114 days ago
84,id_24948_,348,adasgu last solved a problem 1942 days ago
85,id_132482_,344,4rm4g3dd0n last solved a problem 2214 days ago
86,id_116050_,344,rammek last solved a problem 78 days ago
